{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.398, 'y': -0.018, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.415, 'y': -0.026, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.415, 'y': -0.026, 'yaw': 0.0, 'bx': -0.044, 'by': -0.025}
{'ID': '', 'x': -0.445, 'y': -0.068, 'yaw': 0.0, 'bx': -0.044, 'by': -0.025}
{'ID': '', 'x': -0.431, 'y': -0.064, 'yaw': 0.0, 'bx': -0.044, 'by': -0.025}
{'ID': '', 'x': -0.416, 'y': -0.055, 'yaw': 6.251, 'bx': -0.063, 'by': -0.063}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 6.283, 'bx': -0.024, 'by': 0.0}
{'ID': '', 'x': -0.385, 'y': -0.047, 'yaw': 6.271, 'bx': -0.063, 'by': -0.063}
{'ID': '', 'x': -0.339, 'y': -0.039, 'yaw': 0.021, 'bx': -0.063, 'by': -0.063}
{'ID': '', 'x': -0.293, 'y': -0.03, 'yaw': 0.021, 'bx': -0.063, 'by': -0.063}
{'ID': '', 'x': -0.247, 'y': -0.021, 'yaw': 0.105, 'bx': -0.063, 'by': -0.063}
{'ID': '#0', 'x': -1.657, 'y': 0.0, 'yaw': 6.274, 'bx': -0.024, 'by': 0.0}
{'ID': '', 'x': -0.2, 'y': -0.013, 'yaw': 0.121, 'bx': -0.063, 'by': -0.063}
{'ID': '#0', 'x': -1.622, 'y': -0.0, 'yaw': 6.168, 'bx': -0.024, 'by': 0.0}
{'ID': '#0', 'x': -1.551, 'y': -0.008, 'yaw': 6.141, 'bx': -0.024, 'by': 0.0}
{'ID': '', 'x': -0.154, 'y': -0.001, 'yaw': 6.258, 'bx': -0.063, 'by': -0.063}
{'ID': '#0', 'x': -1.481, 'y': -0.019, 'yaw': 6.258, 'bx': -0.024, 'by': 0.0}
{'ID': '#0', 'x': -1.41, 'y': -0.02, 'yaw': 0.092, 'bx': -0.024, 'by': 0.0}
{'ID': '#0', 'x': -1.339, 'y': -0.014, 'yaw': 0.06, 'bx': -0.024, 'by': 0.0}
{'ID': '', 'x': -0.124, 'y': -0.002, 'yaw': 0.126, 'bx': -0.063, 'by': -0.063}
