{'ID': '', 'x': 0.2, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.183, 'y': -0.003, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.041, 'y': -0.016, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.041, 'y': -0.016, 'yaw': 0.0, 'bx': 0.413, 'by': -0.016, 'bytes': 4}
{'ID': '', 'x': 0.069, 'y': -0.019, 'yaw': 0.0, 'bx': 0.413, 'by': -0.016, 'bytes': 4}
{'ID': '', 'x': -0.108, 'y': 0.016, 'yaw': 0.0, 'bx': 0.413, 'by': -0.016, 'bytes': 4}
{'ID': '', 'x': -0.093, 'y': 0.025, 'yaw': 6.271, 'bx': 0.262, 'by': 0.016, 'bytes': 4}
{'ID': '', 'x': -0.062, 'y': 0.033, 'yaw': 6.22, 'bx': 0.262, 'by': 0.016, 'bytes': 4}
{'ID': '', 'x': -0.016, 'y': 0.04, 'yaw': 6.278, 'bx': 0.262, 'by': 0.016, 'bytes': 4}
{'ID': '', 'x': 0.031, 'y': 0.048, 'yaw': 6.279, 'bx': 0.262, 'by': 0.016, 'bytes': 4}
{'ID': '', 'x': 0.077, 'y': 0.057, 'yaw': 6.242, 'bx': 0.262, 'by': 0.016, 'bytes': 4}
{'ID': '', 'x': 0.123, 'y': 0.065, 'yaw': 6.282, 'bx': 0.262, 'by': 0.016, 'bytes': 4}
{'ID': '', 'x': 0.169, 'y': 0.073, 'yaw': 0.061, 'bx': 0.262, 'by': 0.016, 'bytes': 4}
{'ID': '', 'x': 0.199, 'y': 0.075, 'yaw': 5.969, 'bx': 0.262, 'by': 0.016, 'bytes': 4}
{'ID': '', 'x': 0.157, 'y': 0.12, 'yaw': 6.01, 'bx': 0.262, 'by': 0.016, 'bytes': 4}
{'ID': '', 'x': 0.152, 'y': 0.067, 'yaw': 6.009, 'bx': 0.262, 'by': 0.016, 'bytes': 4}
{'ID': '', 'x': 0.164, 'y': 0.063, 'yaw': 6.086, 'bx': 1.34, 'by': -0.113, 'bytes': 4}
{'ID': '', 'x': 0.22, 'y': 0.052, 'yaw': 6.102, 'bx': 1.34, 'by': -0.113, 'bytes': 4}
{'ID': '', 'x': 0.304, 'y': 0.037, 'yaw': 6.173, 'bx': 1.34, 'by': -0.113, 'bytes': 4}
{'ID': '', 'x': 0.389, 'y': 0.027, 'yaw': 6.166, 'bx': 1.34, 'by': -0.113, 'bytes': 4}
{'ID': '', 'x': 0.474, 'y': 0.017, 'yaw': 6.03, 'bx': 1.34, 'by': -0.113, 'bytes': 4}
{'ID': '', 'x': 0.557, 'y': -0.004, 'yaw': 6.02, 'bx': 1.34, 'by': -0.113, 'bytes': 4}
{'ID': '', 'x': 0.612, 'y': -0.019, 'yaw': 5.976, 'bx': 1.34, 'by': -0.113, 'bytes': 4}
{'ID': '', 'x': 0.639, 'y': -0.028, 'yaw': 5.985, 'bx': 1.34, 'by': -0.113, 'bytes': 4}
{'ID': '', 'x': 0.537, 'y': 0.058, 'yaw': 6.019, 'bx': 1.34, 'by': -0.113, 'bytes': 4}
{'ID': '', 'x': 0.604, 'y': 0.055, 'yaw': 6.019, 'bx': 1.34, 'by': -0.113, 'bytes': 4}
{'ID': '', 'x': 0.617, 'y': 0.052, 'yaw': 6.149, 'bx': 1.779, 'by': -0.107, 'bytes': 4}
{'ID': '', 'x': 0.674, 'y': 0.044, 'yaw': 6.203, 'bx': 1.779, 'by': -0.107, 'bytes': 4}
{'ID': '', 'x': 0.759, 'y': 0.037, 'yaw': 6.158, 'bx': 1.779, 'by': -0.107, 'bytes': 4}
{'ID': '', 'x': 0.843, 'y': 0.027, 'yaw': 6.081, 'bx': 1.779, 'by': -0.107, 'bytes': 4}
{'ID': '', 'x': 0.927, 'y': 0.009, 'yaw': 6.033, 'bx': 1.779, 'by': -0.107, 'bytes': 4}
{'ID': '', 'x': 1.01, 'y': -0.012, 'yaw': 6.133, 'bx': 1.779, 'by': -0.107, 'bytes': 4}
{'ID': '', 'x': 1.066, 'y': -0.02, 'yaw': 6.118, 'bx': 1.779, 'by': -0.107, 'bytes': 4}
{'ID': '', 'x': 1.094, 'y': -0.025, 'yaw': 6.032, 'bx': 1.779, 'by': -0.107, 'bytes': 4}
{'ID': '', 'x': 1.015, 'y': 0.021, 'yaw': 6.028, 'bx': 1.779, 'by': -0.107, 'bytes': 4}
{'ID': '', 'x': 1.115, 'y': 0.054, 'yaw': 6.027, 'bx': 1.779, 'by': -0.107, 'bytes': 4}
{'ID': '', 'x': 1.139, 'y': 0.048, 'yaw': 6.155, 'bx': 1.807, 'by': -0.063, 'bytes': 4}
{'ID': '', 'x': 1.188, 'y': 0.042, 'yaw': 0.063, 'bx': 1.807, 'by': -0.063, 'bytes': 4}
{'ID': '', 'x': 1.262, 'y': 0.047, 'yaw': 0.322, 'bx': 1.807, 'by': -0.063, 'bytes': 4}
{'ID': '', 'x': 1.332, 'y': 0.07, 'yaw': 0.551, 'bx': 1.807, 'by': -0.063, 'bytes': 4}
{'ID': '', 'x': 1.398, 'y': 0.111, 'yaw': 0.583, 'bx': 1.807, 'by': -0.063, 'bytes': 4}
{'ID': '', 'x': 1.463, 'y': 0.153, 'yaw': 0.308, 'bx': 1.807, 'by': -0.063, 'bytes': 4}
{'ID': '', 'x': 1.493, 'y': 0.163, 'yaw': 6.268, 'bx': 1.807, 'by': -0.063, 'bytes': 4}
{'ID': '', 'x': 1.524, 'y': 0.162, 'yaw': 6.191, 'bx': 1.807, 'by': -0.063, 'bytes': 4}
{'ID': '', 'x': 1.555, 'y': 0.16, 'yaw': 6.069, 'bx': 1.807, 'by': -0.063, 'bytes': 4}
{'ID': '', 'x': 1.585, 'y': 0.153, 'yaw': 5.898, 'bx': 1.807, 'by': -0.063, 'bytes': 4}
