{'ID': '', 'x': 0.2, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.203, 'y': 0.006, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.022, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.022, 'y': 0.0, 'yaw': 6.283, 'bx': 0.349, 'by': 0.001, 'bytes': 4}
{'ID': '', 'x': -0.018, 'y': -0.019, 'yaw': 0.0, 'bx': 0.349, 'by': 0.001, 'bytes': 4}
{'ID': '', 'x': -0.127, 'y': 0.005, 'yaw': 6.283, 'bx': 0.349, 'by': 0.001, 'bytes': 4}
{'ID': '', 'x': -0.112, 'y': 0.014, 'yaw': 6.258, 'bx': 0.243, 'by': 0.005, 'bytes': 4}
{'ID': '', 'x': -0.081, 'y': 0.022, 'yaw': 6.23, 'bx': 0.243, 'by': 0.005, 'bytes': 4}
{'ID': '', 'x': -0.035, 'y': 0.029, 'yaw': 6.261, 'bx': 0.243, 'by': 0.005, 'bytes': 4}
{'ID': '', 'x': 0.011, 'y': 0.038, 'yaw': 0.009, 'bx': 0.243, 'by': 0.005, 'bytes': 4}
{'ID': '', 'x': 0.058, 'y': 0.046, 'yaw': 6.279, 'bx': 0.243, 'by': 0.005, 'bytes': 4}
{'ID': '', 'x': 0.104, 'y': 0.054, 'yaw': 6.28, 'bx': 0.243, 'by': 0.005, 'bytes': 4}
{'ID': '', 'x': 0.15, 'y': 0.063, 'yaw': 0.046, 'bx': 0.243, 'by': 0.005, 'bytes': 4}
