{'ID': '', 'x': 0.661, 'y': -0.173, 'yaw': 5.652, 'bx': 1.443, 'by': -0.401, 'bytes': 4}
{'ID': '#0', 'x': -1.349, 'y': 0.064, 'yaw': 0.141, 'bx': -1.566, 'by': 0.485, 'bytes': 4}
{'ID': '#0', 'x': -1.379, 'y': 0.077, 'yaw': 0.035, 'bx': -1.566, 'by': 0.485, 'bytes': 4}
{'ID': '', 'x': 0.684, 'y': -0.19, 'yaw': 5.764, 'bx': 1.443, 'by': -0.401, 'bytes': 4}
{'ID': '#0', 'x': -1.407, 'y': 0.093, 'yaw': 0.064, 'bx': -1.566, 'by': 0.485, 'bytes': 4}
{'ID': '#0', 'x': -1.436, 'y': 0.109, 'yaw': 0.053, 'bx': -1.566, 'by': 0.485, 'bytes': 4}
{'ID': '#0', 'x': -1.465, 'y': 0.124, 'yaw': 0.032, 'bx': -1.566, 'by': 0.485, 'bytes': 4}
{'ID': '#0', 'x': -1.494, 'y': 0.141, 'yaw': 0.036, 'bx': -1.566, 'by': 0.485, 'bytes': 4}
{'ID': '#0', 'x': -1.522, 'y': 0.157, 'yaw': 0.017, 'bx': -1.566, 'by': 0.485, 'bytes': 4}
{'ID': '', 'x': 0.636, 'y': -0.188, 'yaw': 5.794, 'bx': 1.443, 'by': -0.401, 'bytes': 4}
{'ID': '', 'x': 0.676, 'y': -0.174, 'yaw': 5.793, 'bx': 1.443, 'by': -0.401, 'bytes': 4}
{'ID': '#0', 'x': -1.55, 'y': 0.173, 'yaw': 0.08, 'bx': -1.566, 'by': 0.485, 'bytes': 4}
{'ID': '#0', 'x': -1.58, 'y': 0.188, 'yaw': 6.264, 'bx': -1.566, 'by': 0.485, 'bytes': 4}
{'ID': '#0', 'x': -1.607, 'y': 0.206, 'yaw': 6.266, 'bx': -1.566, 'by': 0.485, 'bytes': 4}
{'ID': '', 'x': 0.676, 'y': -0.174, 'yaw': 5.861, 'bx': 1.473, 'by': -0.4, 'bytes': 4}
{'ID': '#0', 'x': -1.635, 'y': 0.224, 'yaw': 0.06, 'bx': -1.566, 'by': 0.485, 'bytes': 4}
{'ID': '', 'x': 0.702, 'y': -0.185, 'yaw': 5.921, 'bx': 1.473, 'by': -0.4, 'bytes': 4}
{'ID': '', 'x': 0.755, 'y': -0.205, 'yaw': 5.853, 'bx': 1.473, 'by': -0.4, 'bytes': 4}
{'ID': '', 'x': 0.832, 'y': -0.241, 'yaw': 5.801, 'bx': 1.473, 'by': -0.4, 'bytes': 4}
{'ID': '', 'x': 0.908, 'y': -0.28, 'yaw': 5.774, 'bx': 1.473, 'by': -0.4, 'bytes': 4}
{'ID': '', 'x': 0.982, 'y': -0.322, 'yaw': 5.792, 'bx': 1.473, 'by': -0.4, 'bytes': 4}
{'ID': '#0', 'x': -1.635, 'y': 0.224, 'yaw': 0.069, 'bx': -1.566, 'by': 0.485, 'bytes': 4}
{'ID': '', 'x': 1.057, 'y': -0.362, 'yaw': 5.821, 'bx': 1.473, 'by': -0.4, 'bytes': 4}
{'ID': '#0', 'x': -1.635, 'y': 0.224, 'yaw': 0.029, 'bx': -1.566, 'by': 0.485, 'bytes': 4}
{'ID': '', 'x': 1.11, 'y': -0.388, 'yaw': 5.707, 'bx': 1.473, 'by': -0.4, 'bytes': 4}
{'ID': '', 'x': 1.16, 'y': -0.42, 'yaw': 5.936, 'bx': 1.473, 'by': -0.4, 'bytes': 4}
{'ID': '', 'x': 1.197, 'y': -0.434, 'yaw': 6.257, 'bx': 1.473, 'by': -0.4, 'bytes': 4}
{'ID': '', 'x': 1.216, 'y': -0.434, 'yaw': 0.209, 'bx': 1.473, 'by': -0.4, 'bytes': 4}
{'ID': '', 'x': 1.216, 'y': -0.434, 'yaw': 0.138, 'bx': 1.473, 'by': -0.4, 'bytes': 4}
{'ID': '', 'x': 1.216, 'y': -0.434, 'yaw': 6.272, 'bx': 1.473, 'by': -0.4, 'bytes': 4}
{'ID': '', 'x': 1.216, 'y': -0.434, 'yaw': 6.143, 'bx': 1.473, 'by': -0.4, 'bytes': 4}
{'ID': '#0', 'x': -1.635, 'y': 0.224, 'yaw': 0.026, 'bx': -1.589, 'by': 0.389, 'bytes': 4}
{'ID': '', 'x': 1.216, 'y': -0.434, 'yaw': 6.246, 'bx': 1.473, 'by': -0.4, 'bytes': 4}
{'ID': '#0', 'x': -1.635, 'y': 0.224, 'yaw': 6.258, 'bx': -1.589, 'by': 0.389, 'bytes': 4}
