{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.394, 'y': 0.007, 'yaw': 6.282, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.408, 'y': -0.0, 'yaw': 6.282, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.408, 'y': -0.0, 'yaw': 6.282, 'bx': -0.036, 'by': -0.001, 'bytes': 4}
{'ID': '', 'x': -0.379, 'y': 0.011, 'yaw': 6.281, 'bx': -0.036, 'by': -0.001, 'bytes': 4}
{'ID': '', 'x': -0.434, 'y': 0.01, 'yaw': 6.281, 'bx': -0.036, 'by': -0.001, 'bytes': 4}
{'ID': '', 'x': -0.418, 'y': 0.002, 'yaw': 0.029, 'bx': -0.064, 'by': 0.011, 'bytes': 4}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 6.283, 'bx': -0.042, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.388, 'y': -0.006, 'yaw': 0.03, 'bx': -0.064, 'by': 0.011, 'bytes': 4}
{'ID': '', 'x': -0.341, 'y': -0.013, 'yaw': 0.044, 'bx': -0.064, 'by': 0.011, 'bytes': 4}
{'ID': '', 'x': -0.295, 'y': -0.021, 'yaw': 6.28, 'bx': -0.064, 'by': 0.011, 'bytes': 4}
{'ID': '', 'x': -0.249, 'y': -0.029, 'yaw': 0.005, 'bx': -0.064, 'by': 0.011, 'bytes': 4}
{'ID': '#0', 'x': -1.657, 'y': 0.0, 'yaw': 6.227, 'bx': -0.042, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.202, 'y': -0.037, 'yaw': 0.024, 'bx': -0.064, 'by': 0.011, 'bytes': 4}
{'ID': '#0', 'x': -1.622, 'y': -0.002, 'yaw': 6.2, 'bx': -0.042, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.551, 'y': -0.008, 'yaw': 6.238, 'bx': -0.042, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.156, 'y': -0.045, 'yaw': 6.252, 'bx': -0.064, 'by': 0.011, 'bytes': 4}
{'ID': '#0', 'x': -1.48, 'y': -0.011, 'yaw': 0.064, 'bx': -0.042, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.409, 'y': -0.007, 'yaw': 0.054, 'bx': -0.042, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.338, 'y': -0.003, 'yaw': 0.002, 'bx': -0.042, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.126, 'y': -0.046, 'yaw': 6.242, 'bx': -0.064, 'by': 0.011, 'bytes': 4}
{'ID': '#0', 'x': -1.291, 'y': -0.003, 'yaw': 0.015, 'bx': -0.042, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': -0.002, 'yaw': 0.026, 'bx': -0.042, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.091, 'y': -0.022, 'yaw': 6.169, 'bx': -0.064, 'by': 0.011, 'bytes': 4}
{'ID': '', 'x': -0.103, 'y': -0.027, 'yaw': 6.168, 'bx': -0.064, 'by': 0.011, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': -0.002, 'yaw': 0.0, 'bx': -0.042, 'by': 0.0, 'bytes': 4}
