{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.411, 'y': 0.01, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.414, 'y': -0.015, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.414, 'y': -0.015, 'yaw': 0.0, 'bx': -0.043, 'by': -0.015, 'bytes': 4}
{'ID': '', 'x': -0.409, 'y': -0.002, 'yaw': 6.283, 'bx': -0.043, 'by': -0.015, 'bytes': 4}
{'ID': '', 'x': -0.427, 'y': -0.001, 'yaw': 0.0, 'bx': -0.043, 'by': -0.015, 'bytes': 4}
{'ID': '', 'x': -0.412, 'y': 0.007, 'yaw': 0.006, 'bx': -0.058, 'by': -0.001, 'bytes': 4}
{'ID': '', 'x': -0.381, 'y': 0.016, 'yaw': 6.199, 'bx': -0.058, 'by': -0.001, 'bytes': 4}
{'ID': '', 'x': -0.335, 'y': 0.022, 'yaw': 6.204, 'bx': -0.058, 'by': -0.001, 'bytes': 4}
{'ID': '', 'x': -0.288, 'y': 0.029, 'yaw': 6.245, 'bx': -0.058, 'by': -0.001, 'bytes': 4}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': -0.02, 'by': -0.0, 'bytes': 4}
{'ID': '', 'x': -0.242, 'y': 0.037, 'yaw': 0.01, 'bx': -0.058, 'by': -0.001, 'bytes': 4}
{'ID': '', 'x': -0.196, 'y': 0.046, 'yaw': 0.012, 'bx': -0.058, 'by': -0.001, 'bytes': 4}
{'ID': '', 'x': -0.15, 'y': 0.055, 'yaw': 6.283, 'bx': -0.058, 'by': -0.001, 'bytes': 4}
{'ID': '#0', 'x': -1.657, 'y': 0.0, 'yaw': 0.045, 'bx': -0.02, 'by': -0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.622, 'y': 0.002, 'yaw': 0.089, 'bx': -0.02, 'by': -0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.551, 'y': 0.008, 'yaw': 6.282, 'bx': -0.02, 'by': -0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.48, 'y': 0.008, 'yaw': 6.228, 'bx': -0.02, 'by': -0.0, 'bytes': 4}
{'ID': '', 'x': -0.12, 'y': 0.055, 'yaw': 0.149, 'bx': -0.058, 'by': -0.001, 'bytes': 4}
{'ID': '#0', 'x': -1.409, 'y': 0.004, 'yaw': 0.009, 'bx': -0.02, 'by': -0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.338, 'y': 0.005, 'yaw': 0.006, 'bx': -0.02, 'by': -0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.291, 'y': 0.005, 'yaw': 6.262, 'bx': -0.02, 'by': -0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.004, 'yaw': 6.217, 'bx': -0.02, 'by': -0.0, 'bytes': 4}
{'ID': '', 'x': -0.146, 'y': 0.051, 'yaw': 0.248, 'bx': -0.058, 'by': -0.001, 'bytes': 4}
{'ID': '', 'x': -0.125, 'y': 0.037, 'yaw': 0.248, 'bx': -0.058, 'by': -0.001, 'bytes': 4}
{'ID': '', 'x': -0.115, 'y': 0.04, 'yaw': 0.224, 'bx': 0.761, 'by': -0.082, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.004, 'yaw': 6.27, 'bx': -0.02, 'by': -0.0, 'bytes': 4}
{'ID': '', 'x': -0.105, 'y': 0.042, 'yaw': 6.225, 'bx': 0.761, 'by': -0.082, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.004, 'yaw': 6.283, 'bx': -0.02, 'by': -0.0, 'bytes': 4}
{'ID': '', 'x': -0.094, 'y': 0.042, 'yaw': 5.896, 'bx': 0.761, 'by': -0.082, 'bytes': 4}
{'ID': '', 'x': -0.085, 'y': 0.038, 'yaw': 5.65, 'bx': 0.761, 'by': -0.082, 'bytes': 4}
{'ID': '', 'x': -0.065, 'y': 0.023, 'yaw': 5.654, 'bx': 0.761, 'by': -0.082, 'bytes': 4}
{'ID': '', 'x': -0.025, 'y': -0.005, 'yaw': 5.776, 'bx': 0.761, 'by': -0.082, 'bytes': 4}
{'ID': '', 'x': 0.039, 'y': -0.041, 'yaw': 5.908, 'bx': 0.761, 'by': -0.082, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.004, 'yaw': 6.279, 'bx': -1.108, 'by': 0.047, 'bytes': 4}
{'ID': '', 'x': 0.107, 'y': -0.068, 'yaw': 5.82, 'bx': 0.761, 'by': -0.082, 'bytes': 4}
