{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.398, 'y': -0.02, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.399, 'y': -0.023, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.399, 'y': -0.023, 'yaw': 0.0, 'bx': -0.028, 'by': -0.023, 'bytes': 4}
{'ID': '', 'x': -0.414, 'y': -0.031, 'yaw': 0.0, 'bx': -0.028, 'by': -0.023, 'bytes': 4}
{'ID': '', 'x': -0.424, 'y': -0.01, 'yaw': 6.283, 'bx': -0.028, 'by': -0.023, 'bytes': 4}
{'ID': '', 'x': -0.408, 'y': -0.001, 'yaw': 6.275, 'bx': -0.055, 'by': -0.01, 'bytes': 4}
{'ID': '', 'x': -0.378, 'y': 0.007, 'yaw': 6.216, 'bx': -0.055, 'by': -0.01, 'bytes': 4}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': -0.029, 'by': 0.001, 'bytes': 4}
{'ID': '', 'x': -0.331, 'y': 0.014, 'yaw': 6.182, 'bx': -0.055, 'by': -0.01, 'bytes': 4}
{'ID': '', 'x': -0.285, 'y': 0.021, 'yaw': 6.283, 'bx': -0.055, 'by': -0.01, 'bytes': 4}
{'ID': '', 'x': -0.239, 'y': 0.03, 'yaw': 0.042, 'bx': -0.055, 'by': -0.01, 'bytes': 4}
{'ID': '', 'x': -0.193, 'y': 0.038, 'yaw': 0.021, 'bx': -0.055, 'by': -0.01, 'bytes': 4}
{'ID': '#0', 'x': -1.657, 'y': 0.0, 'yaw': 6.252, 'bx': -0.029, 'by': 0.001, 'bytes': 4}
{'ID': '', 'x': -0.147, 'y': 0.047, 'yaw': 0.016, 'bx': -0.055, 'by': -0.01, 'bytes': 4}
{'ID': '#0', 'x': -1.622, 'y': -0.001, 'yaw': 6.216, 'bx': -0.029, 'by': 0.001, 'bytes': 4}
{'ID': '#0', 'x': -1.551, 'y': -0.006, 'yaw': 6.249, 'bx': -0.029, 'by': 0.001, 'bytes': 4}
{'ID': '#0', 'x': -1.48, 'y': -0.008, 'yaw': 6.265, 'bx': -0.029, 'by': 0.001, 'bytes': 4}
{'ID': '#0', 'x': -1.409, 'y': -0.009, 'yaw': 0.025, 'bx': -0.029, 'by': 0.001, 'bytes': 4}
{'ID': '', 'x': -0.116, 'y': 0.048, 'yaw': 0.139, 'bx': -0.055, 'by': -0.01, 'bytes': 4}
{'ID': '#0', 'x': -1.338, 'y': -0.008, 'yaw': 0.025, 'bx': -0.029, 'by': 0.001, 'bytes': 4}
{'ID': '#0', 'x': -1.291, 'y': -0.006, 'yaw': 6.268, 'bx': -0.029, 'by': 0.001, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': -0.007, 'yaw': 0.045, 'bx': -0.029, 'by': 0.001, 'bytes': 4}
