{'ID': '', 'x': 0.2, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.2, 'y': 0.002, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.039, 'y': 0.002, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.039, 'y': 0.002, 'yaw': 6.283, 'bx': 0.41, 'by': 0.002, 'bytes': 4}
{'ID': '', 'x': 0.012, 'y': -0.014, 'yaw': 0.0, 'bx': 0.41, 'by': 0.002, 'bytes': 4}
{'ID': '', 'x': -0.065, 'y': 0.002, 'yaw': 0.0, 'bx': 0.41, 'by': 0.002, 'bytes': 4}
{'ID': '', 'x': -0.05, 'y': 0.011, 'yaw': 6.253, 'bx': 0.305, 'by': 0.002, 'bytes': 4}
{'ID': '', 'x': -0.019, 'y': 0.019, 'yaw': 6.228, 'bx': 0.305, 'by': 0.002, 'bytes': 4}
{'ID': '', 'x': 0.027, 'y': 0.026, 'yaw': 6.278, 'bx': 0.305, 'by': 0.002, 'bytes': 4}
{'ID': '', 'x': 0.073, 'y': 0.034, 'yaw': 0.011, 'bx': 0.305, 'by': 0.002, 'bytes': 4}
{'ID': '', 'x': 0.12, 'y': 0.043, 'yaw': 0.012, 'bx': 0.305, 'by': 0.002, 'bytes': 4}
{'ID': '', 'x': 0.166, 'y': 0.052, 'yaw': 0.032, 'bx': 0.305, 'by': 0.002, 'bytes': 4}
{'ID': '', 'x': 0.212, 'y': 0.061, 'yaw': 6.263, 'bx': 0.305, 'by': 0.002, 'bytes': 4}
