{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.409, 'y': 0.008, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.406, 'y': 0.013, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.406, 'y': 0.013, 'yaw': 0.0, 'bx': -0.035, 'by': 0.013}
{'ID': '', 'x': -0.404, 'y': 0.007, 'yaw': 0.001, 'bx': -0.035, 'by': 0.013}
{'ID': '', 'x': -0.382, 'y': 0.011, 'yaw': 0.001, 'bx': -0.035, 'by': 0.013}
{'ID': '', 'x': -0.367, 'y': 0.019, 'yaw': 6.274, 'bx': -0.012, 'by': 0.011}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': -0.02, 'by': -0.0}
{'ID': '', 'x': -0.336, 'y': 0.028, 'yaw': 6.205, 'bx': -0.012, 'by': 0.011}
{'ID': '', 'x': -0.29, 'y': 0.034, 'yaw': 0.048, 'bx': -0.012, 'by': 0.011}
