{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.396, 'y': 0.018, 'yaw': 6.283, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.414, 'y': 0.013, 'yaw': 6.283, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.414, 'y': 0.013, 'yaw': 0.0, 'bx': -0.043, 'by': 0.013}
{'ID': '', 'x': -0.411, 'y': 0.011, 'yaw': 6.283, 'bx': -0.043, 'by': 0.013}
{'ID': '', 'x': -0.408, 'y': 0.015, 'yaw': 6.283, 'bx': -0.043, 'by': 0.013}
{'ID': '', 'x': -0.392, 'y': 0.024, 'yaw': 0.001, 'bx': -0.038, 'by': 0.015}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': -0.037, 'by': 0.0}
{'ID': '', 'x': -0.361, 'y': 0.032, 'yaw': 6.26, 'bx': -0.038, 'by': 0.015}
{'ID': '', 'x': -0.315, 'y': 0.04, 'yaw': 6.229, 'bx': -0.038, 'by': 0.015}
{'ID': '', 'x': -0.269, 'y': 0.048, 'yaw': 6.253, 'bx': -0.038, 'by': 0.015}
{'ID': '#0', 'x': -1.657, 'y': 0.0, 'yaw': 6.226, 'bx': -0.037, 'by': 0.0}
{'ID': '', 'x': -0.223, 'y': 0.056, 'yaw': 0.039, 'bx': -0.038, 'by': 0.015}
{'ID': '#0', 'x': -1.622, 'y': -0.002, 'yaw': 6.213, 'bx': -0.037, 'by': 0.0}
{'ID': '', 'x': -0.176, 'y': 0.065, 'yaw': 0.02, 'bx': -0.038, 'by': 0.015}
{'ID': '#0', 'x': -1.551, 'y': -0.007, 'yaw': 0.002, 'bx': -0.037, 'by': 0.0}
{'ID': '', 'x': -0.13, 'y': 0.073, 'yaw': 6.269, 'bx': -0.038, 'by': 0.015}
{'ID': '#0', 'x': -1.48, 'y': -0.007, 'yaw': 6.269, 'bx': -0.037, 'by': 0.0}
{'ID': '#0', 'x': -1.409, 'y': -0.008, 'yaw': 6.273, 'bx': -0.037, 'by': 0.0}
{'ID': '#0', 'x': -1.338, 'y': -0.009, 'yaw': 0.05, 'bx': -0.037, 'by': 0.0}
{'ID': '', 'x': -0.1, 'y': 0.073, 'yaw': 0.026, 'bx': -0.038, 'by': 0.015}
{'ID': '#0', 'x': -1.291, 'y': -0.006, 'yaw': 0.045, 'bx': -0.037, 'by': 0.0}
{'ID': '#0', 'x': -1.267, 'y': -0.005, 'yaw': 0.063, 'bx': -0.037, 'by': 0.0}
{'ID': '#0', 'x': -1.267, 'y': -0.005, 'yaw': 0.014, 'bx': -0.037, 'by': 0.0}
{'ID': '', 'x': -0.129, 'y': 0.115, 'yaw': 0.095, 'bx': -0.038, 'by': 0.015}
{'ID': '', 'x': -0.087, 'y': 0.119, 'yaw': 0.095, 'bx': -0.038, 'by': 0.015}
{'ID': '', 'x': -0.057, 'y': 0.121, 'yaw': 0.104, 'bx': 0.984, 'by': -0.147}
{'ID': '', 'x': 0.002, 'y': 0.127, 'yaw': 6.13, 'bx': 0.984, 'by': -0.147}
{'ID': '', 'x': 0.089, 'y': 0.114, 'yaw': 5.801, 'bx': 0.984, 'by': -0.147}
{'ID': '#0', 'x': -1.267, 'y': -0.005, 'yaw': 0.008, 'bx': -1.251, 'by': 0.27}
{'ID': '', 'x': 0.168, 'y': 0.073, 'yaw': 5.581, 'bx': 0.984, 'by': -0.147}
{'ID': '', 'x': 0.232, 'y': 0.018, 'yaw': 5.598, 'bx': 0.984, 'by': -0.147}
