{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.406, 'y': -0.002, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.423, 'y': -0.017, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.423, 'y': -0.017, 'yaw': 6.283, 'bx': -0.052, 'by': -0.017, 'bytes': 4}
{'ID': '', 'x': -0.411, 'y': -0.024, 'yaw': 0.0, 'bx': -0.052, 'by': -0.017, 'bytes': 4}
{'ID': '', 'x': -0.396, 'y': -0.029, 'yaw': 0.0, 'bx': -0.052, 'by': -0.017, 'bytes': 4}
{'ID': '', 'x': -0.381, 'y': -0.021, 'yaw': 6.255, 'bx': -0.027, 'by': -0.029, 'bytes': 4}
{'ID': '', 'x': -0.35, 'y': -0.013, 'yaw': 6.23, 'bx': -0.027, 'by': -0.029, 'bytes': 4}
{'ID': '', 'x': -0.304, 'y': -0.006, 'yaw': 6.262, 'bx': -0.027, 'by': -0.029, 'bytes': 4}
{'ID': '', 'x': -0.258, 'y': 0.002, 'yaw': 0.027, 'bx': -0.027, 'by': -0.029, 'bytes': 4}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': -0.031, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.212, 'y': 0.011, 'yaw': 6.255, 'bx': -0.027, 'by': -0.029, 'bytes': 4}
{'ID': '', 'x': -0.166, 'y': 0.019, 'yaw': 6.239, 'bx': -0.027, 'by': -0.029, 'bytes': 4}
{'ID': '', 'x': -0.12, 'y': 0.027, 'yaw': 0.047, 'bx': -0.027, 'by': -0.029, 'bytes': 4}
{'ID': '#0', 'x': -1.657, 'y': 0.0, 'yaw': 6.231, 'bx': -0.031, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.622, 'y': -0.002, 'yaw': 6.198, 'bx': -0.031, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.551, 'y': -0.008, 'yaw': 6.263, 'bx': -0.031, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.48, 'y': -0.009, 'yaw': 0.003, 'bx': -0.031, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.089, 'y': 0.029, 'yaw': 0.169, 'bx': -0.027, 'by': -0.029, 'bytes': 4}
{'ID': '#0', 'x': -1.409, 'y': -0.009, 'yaw': 0.014, 'bx': -0.031, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.338, 'y': -0.008, 'yaw': 0.025, 'bx': -0.031, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.291, 'y': -0.007, 'yaw': 0.047, 'bx': -0.031, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': -0.006, 'yaw': 0.03, 'bx': -0.031, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.14, 'y': 0.014, 'yaw': 0.232, 'bx': -0.027, 'by': -0.029, 'bytes': 4}
{'ID': '', 'x': -0.123, 'y': 0.027, 'yaw': 0.232, 'bx': -0.027, 'by': -0.029, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': -0.006, 'yaw': 0.019, 'bx': -0.031, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.112, 'y': 0.029, 'yaw': 0.215, 'bx': 0.981, 'by': -0.103, 'bytes': 4}
{'ID': '', 'x': -0.101, 'y': 0.031, 'yaw': 6.227, 'bx': 0.981, 'by': -0.103, 'bytes': 4}
{'ID': '', 'x': -0.045, 'y': 0.028, 'yaw': 5.906, 'bx': 0.981, 'by': -0.103, 'bytes': 4}
{'ID': '', 'x': 0.035, 'y': -0.003, 'yaw': 5.977, 'bx': 0.981, 'by': -0.103, 'bytes': 4}
{'ID': '', 'x': 0.116, 'y': -0.029, 'yaw': 6.104, 'bx': 0.981, 'by': -0.103, 'bytes': 4}
{'ID': '', 'x': 0.2, 'y': -0.044, 'yaw': 6.162, 'bx': 0.981, 'by': -0.103, 'bytes': 4}
{'ID': '', 'x': 0.257, 'y': -0.051, 'yaw': 6.121, 'bx': 0.981, 'by': -0.103, 'bytes': 4}
{'ID': '', 'x': 0.285, 'y': -0.056, 'yaw': 6.033, 'bx': 0.981, 'by': -0.103, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': -0.006, 'yaw': 0.055, 'bx': -1.182, 'by': 0.266, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': -0.006, 'yaw': 0.036, 'bx': -1.182, 'by': 0.266, 'bytes': 4}
{'ID': '', 'x': 0.216, 'y': 0.032, 'yaw': 6.045, 'bx': 0.981, 'by': -0.103, 'bytes': 4}
{'ID': '', 'x': 0.221, 'y': -0.026, 'yaw': 6.044, 'bx': 0.981, 'by': -0.103, 'bytes': 4}
{'ID': '', 'x': 0.221, 'y': -0.026, 'yaw': 6.045, 'bx': 1.058, 'by': -0.303, 'bytes': 4}
{'ID': '', 'x': 0.221, 'y': -0.026, 'yaw': 5.854, 'bx': 1.058, 'by': -0.303, 'bytes': 4}
{'ID': '#0', 'x': -1.319, 'y': -0.243, 'yaw': 0.023, 'bx': -1.182, 'by': 0.266, 'bytes': 4}
{'ID': '#0', 'x': -1.288, 'y': -0.035, 'yaw': 0.02, 'bx': -1.182, 'by': 0.266, 'bytes': 4}
{'ID': '', 'x': 0.245, 'y': -0.037, 'yaw': 5.593, 'bx': 1.058, 'by': -0.303, 'bytes': 4}
{'ID': '', 'x': 0.286, 'y': -0.071, 'yaw': 5.616, 'bx': 1.058, 'by': -0.303, 'bytes': 4}
{'ID': '', 'x': 0.349, 'y': -0.121, 'yaw': 5.853, 'bx': 1.058, 'by': -0.303, 'bytes': 4}
{'ID': '', 'x': 0.422, 'y': -0.154, 'yaw': 5.875, 'bx': 1.058, 'by': -0.303, 'bytes': 4}
{'ID': '', 'x': 0.496, 'y': -0.186, 'yaw': 5.686, 'bx': 1.058, 'by': -0.303, 'bytes': 4}
{'ID': '', 'x': 0.562, 'y': -0.231, 'yaw': 5.625, 'bx': 1.058, 'by': -0.303, 'bytes': 4}
{'ID': '', 'x': 0.634, 'y': -0.287, 'yaw': 5.769, 'bx': 1.058, 'by': -0.303, 'bytes': 4}
{'ID': '#0', 'x': -1.288, 'y': -0.035, 'yaw': 0.012, 'bx': -1.202, 'by': 0.289, 'bytes': 4}
{'ID': '', 'x': 0.713, 'y': -0.332, 'yaw': 5.999, 'bx': 1.058, 'by': -0.303, 'bytes': 4}
{'ID': '#0', 'x': -1.288, 'y': -0.035, 'yaw': 6.262, 'bx': -1.202, 'by': 0.289, 'bytes': 4}
{'ID': '', 'x': 0.772, 'y': -0.349, 'yaw': 6.245, 'bx': 1.058, 'by': -0.303, 'bytes': 4}
{'ID': '', 'x': 0.802, 'y': -0.35, 'yaw': 0.106, 'bx': 1.058, 'by': -0.303, 'bytes': 4}
{'ID': '', 'x': 0.802, 'y': -0.35, 'yaw': 0.074, 'bx': 1.058, 'by': -0.303, 'bytes': 4}
