{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.409, 'y': 0.003, 'yaw': 6.283, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.394, 'y': -0.006, 'yaw': 6.283, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.394, 'y': -0.006, 'yaw': 6.283, 'bx': -0.022, 'by': -0.006}
{'ID': '', 'x': -0.385, 'y': -0.01, 'yaw': 6.283, 'bx': -0.022, 'by': -0.006}
{'ID': '', 'x': -0.401, 'y': 0.008, 'yaw': 6.283, 'bx': -0.022, 'by': -0.006}
{'ID': '', 'x': -0.385, 'y': 0.017, 'yaw': 6.246, 'bx': -0.031, 'by': 0.008}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': -0.03, 'by': 0.0}
{'ID': '', 'x': -0.354, 'y': 0.025, 'yaw': 6.266, 'bx': -0.031, 'by': 0.008}
{'ID': '', 'x': -0.308, 'y': 0.032, 'yaw': 6.24, 'bx': -0.031, 'by': 0.008}
{'ID': '', 'x': -0.262, 'y': 0.04, 'yaw': 6.238, 'bx': -0.031, 'by': 0.008}
{'ID': '', 'x': -0.216, 'y': 0.048, 'yaw': 0.035, 'bx': -0.031, 'by': 0.008}
{'ID': '#0', 'x': -1.657, 'y': 0.0, 'yaw': 6.254, 'bx': -0.03, 'by': 0.0}
{'ID': '', 'x': -0.169, 'y': 0.057, 'yaw': 0.039, 'bx': -0.031, 'by': 0.008}
{'ID': '#0', 'x': -1.622, 'y': -0.001, 'yaw': 6.187, 'bx': -0.03, 'by': 0.0}
{'ID': '', 'x': -0.123, 'y': 0.066, 'yaw': 6.282, 'bx': -0.031, 'by': 0.008}
{'ID': '#0', 'x': -1.551, 'y': -0.008, 'yaw': 6.219, 'bx': -0.03, 'by': 0.0}
{'ID': '#0', 'x': -1.48, 'y': -0.012, 'yaw': 0.07, 'bx': -0.03, 'by': 0.0}
{'ID': '#0', 'x': -1.409, 'y': -0.007, 'yaw': 0.097, 'bx': -0.03, 'by': 0.0}
{'ID': '#0', 'x': -1.339, 'y': -0.001, 'yaw': 0.014, 'bx': -0.03, 'by': 0.0}
{'ID': '', 'x': -0.093, 'y': 0.066, 'yaw': 6.208, 'bx': -0.031, 'by': 0.008}
{'ID': '#0', 'x': -1.291, 'y': 0.0, 'yaw': 0.003, 'bx': -0.03, 'by': 0.0}
{'ID': '#0', 'x': -1.268, 'y': 0.0, 'yaw': 0.042, 'bx': -0.03, 'by': 0.0}
{'ID': '', 'x': -0.086, 'y': 0.029, 'yaw': 6.277, 'bx': -0.031, 'by': 0.008}
{'ID': '', 'x': -0.09, 'y': 0.041, 'yaw': 6.277, 'bx': -0.031, 'by': 0.008}
{'ID': '#0', 'x': -1.268, 'y': 0.0, 'yaw': 0.119, 'bx': -0.03, 'by': 0.0}
{'ID': '#0', 'x': -1.268, 'y': 0.0, 'yaw': 6.269, 'bx': -0.03, 'by': 0.0}
{'ID': '', 'x': -0.09, 'y': 0.041, 'yaw': 0.047, 'bx': 1.103, 'by': -0.065}
