{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.392, 'y': -0.009, 'yaw': 6.283, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.402, 'y': -0.0, 'yaw': 6.283, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.402, 'y': -0.0, 'yaw': 0.001, 'bx': -0.03, 'by': -0.0, 'bytes': 4}
{'ID': '', 'x': -0.396, 'y': 0.004, 'yaw': 0.001, 'bx': -0.03, 'by': -0.0, 'bytes': 4}
{'ID': '', 'x': -0.395, 'y': -0.009, 'yaw': 0.001, 'bx': -0.03, 'by': -0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': -0.037, 'by': 0.001, 'bytes': 4}
{'ID': '', 'x': -0.379, 'y': -0.0, 'yaw': 6.275, 'bx': -0.024, 'by': -0.008, 'bytes': 4}
{'ID': '', 'x': -0.348, 'y': 0.008, 'yaw': 6.212, 'bx': -0.024, 'by': -0.008, 'bytes': 4}
{'ID': '', 'x': -0.302, 'y': 0.015, 'yaw': 6.254, 'bx': -0.024, 'by': -0.008, 'bytes': 4}
{'ID': '', 'x': -0.256, 'y': 0.023, 'yaw': 6.276, 'bx': -0.024, 'by': -0.008, 'bytes': 4}
{'ID': '#0', 'x': -1.657, 'y': 0.0, 'yaw': 6.271, 'bx': -0.037, 'by': 0.001, 'bytes': 4}
{'ID': '', 'x': -0.21, 'y': 0.031, 'yaw': 0.051, 'bx': -0.024, 'by': -0.008, 'bytes': 4}
{'ID': '#0', 'x': -1.622, 'y': -0.0, 'yaw': 6.22, 'bx': -0.037, 'by': 0.001, 'bytes': 4}
{'ID': '', 'x': -0.163, 'y': 0.04, 'yaw': 0.068, 'bx': -0.024, 'by': -0.008, 'bytes': 4}
{'ID': '#0', 'x': -1.551, 'y': -0.005, 'yaw': 6.262, 'bx': -0.037, 'by': 0.001, 'bytes': 4}
{'ID': '', 'x': -0.116, 'y': 0.049, 'yaw': 0.104, 'bx': -0.024, 'by': -0.008, 'bytes': 4}
{'ID': '#0', 'x': -1.48, 'y': -0.006, 'yaw': 6.264, 'bx': -0.037, 'by': 0.001, 'bytes': 4}
{'ID': '#0', 'x': -1.409, 'y': -0.008, 'yaw': 6.28, 'bx': -0.037, 'by': 0.001, 'bytes': 4}
{'ID': '#0', 'x': -1.338, 'y': -0.008, 'yaw': 0.108, 'bx': -0.037, 'by': 0.001, 'bytes': 4}
{'ID': '#0', 'x': -1.291, 'y': -0.003, 'yaw': 0.065, 'bx': -0.037, 'by': 0.001, 'bytes': 4}
{'ID': '', 'x': -0.086, 'y': 0.053, 'yaw': 6.196, 'bx': -0.024, 'by': -0.008, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': -0.001, 'yaw': 6.244, 'bx': -0.037, 'by': 0.001, 'bytes': 4}
