{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.407, 'y': 0.004, 'yaw': 6.283, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.404, 'y': -0.005, 'yaw': 6.283, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.404, 'y': -0.005, 'yaw': 6.283, 'bx': -0.033, 'by': -0.005, 'bytes': 4}
{'ID': '', 'x': -0.409, 'y': 0.013, 'yaw': 6.283, 'bx': -0.033, 'by': -0.005, 'bytes': 4}
{'ID': '', 'x': -0.434, 'y': 0.005, 'yaw': 0.0, 'bx': -0.033, 'by': -0.005, 'bytes': 4}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': -0.035, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.419, 'y': 0.013, 'yaw': 6.278, 'bx': -0.064, 'by': 0.005, 'bytes': 4}
{'ID': '', 'x': -0.388, 'y': 0.022, 'yaw': 6.243, 'bx': -0.064, 'by': 0.005, 'bytes': 4}
{'ID': '#0', 'x': -1.657, 'y': 0.0, 'yaw': 6.239, 'bx': -0.035, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.342, 'y': 0.029, 'yaw': 6.266, 'bx': -0.064, 'by': 0.005, 'bytes': 4}
{'ID': '#0', 'x': -1.622, 'y': -0.002, 'yaw': 6.275, 'bx': -0.035, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.295, 'y': 0.037, 'yaw': 6.255, 'bx': -0.064, 'by': 0.005, 'bytes': 4}
{'ID': '#0', 'x': -1.551, 'y': -0.002, 'yaw': 0.032, 'bx': -0.035, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.249, 'y': 0.045, 'yaw': 6.278, 'bx': -0.064, 'by': 0.005, 'bytes': 4}
{'ID': '#0', 'x': -1.48, 'y': 0.0, 'yaw': 0.005, 'bx': -0.035, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.203, 'y': 0.054, 'yaw': 0.081, 'bx': -0.064, 'by': 0.005, 'bytes': 4}
{'ID': '#0', 'x': -1.409, 'y': 0.0, 'yaw': 0.004, 'bx': -0.035, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.156, 'y': 0.063, 'yaw': 6.246, 'bx': -0.064, 'by': 0.005, 'bytes': 4}
{'ID': '#0', 'x': -1.338, 'y': 0.001, 'yaw': 0.02, 'bx': -0.035, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.291, 'y': 0.002, 'yaw': 0.053, 'bx': -0.035, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.003, 'yaw': 0.063, 'bx': -0.035, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.126, 'y': 0.062, 'yaw': 6.033, 'bx': -0.064, 'by': 0.005, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.003, 'yaw': 0.09, 'bx': -0.035, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.003, 'yaw': 0.071, 'bx': -0.035, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.2, 'y': 0.041, 'yaw': 6.078, 'bx': -0.064, 'by': 0.005, 'bytes': 4}
{'ID': '', 'x': -0.182, 'y': 0.024, 'yaw': 6.078, 'bx': -0.064, 'by': 0.005, 'bytes': 4}
{'ID': '', 'x': -0.182, 'y': 0.024, 'yaw': 6.131, 'bx': 0.634, 'by': -0.085, 'bytes': 4}
{'ID': '', 'x': -0.156, 'y': 0.02, 'yaw': 6.161, 'bx': 0.634, 'by': -0.085, 'bytes': 4}
{'ID': '', 'x': -0.102, 'y': 0.014, 'yaw': 6.093, 'bx': 0.634, 'by': -0.085, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.003, 'yaw': 0.047, 'bx': -0.901, 'by': 0.108, 'bytes': 4}
{'ID': '', 'x': -0.023, 'y': -0.002, 'yaw': 6.103, 'bx': 0.634, 'by': -0.085, 'bytes': 4}
