{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.381, 'y': 0.007, 'yaw': 0.001, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.403, 'y': 0.036, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.403, 'y': 0.036, 'yaw': 0.0, 'bx': -0.032, 'by': 0.036, 'bytes': 4}
{'ID': '', 'x': -0.405, 'y': 0.003, 'yaw': 0.001, 'bx': -0.032, 'by': 0.036, 'bytes': 4}
{'ID': '', 'x': -0.391, 'y': 0.019, 'yaw': 0.001, 'bx': -0.032, 'by': 0.036, 'bytes': 4}
{'ID': '', 'x': -0.376, 'y': 0.027, 'yaw': 0.001, 'bx': -0.021, 'by': 0.019, 'bytes': 4}
{'ID': '', 'x': -0.345, 'y': 0.036, 'yaw': 6.244, 'bx': -0.021, 'by': 0.019, 'bytes': 4}
{'ID': '', 'x': -0.298, 'y': 0.043, 'yaw': 6.242, 'bx': -0.021, 'by': 0.019, 'bytes': 4}
{'ID': '', 'x': -0.252, 'y': 0.051, 'yaw': 6.269, 'bx': -0.021, 'by': 0.019, 'bytes': 4}
{'ID': '', 'x': -0.206, 'y': 0.06, 'yaw': 0.028, 'bx': -0.021, 'by': 0.019, 'bytes': 4}
{'ID': '', 'x': -0.16, 'y': 0.068, 'yaw': 0.004, 'bx': -0.021, 'by': 0.019, 'bytes': 4}
{'ID': '', 'x': -0.113, 'y': 0.077, 'yaw': 6.261, 'bx': -0.021, 'by': 0.019, 'bytes': 4}
{'ID': '', 'x': -0.083, 'y': 0.076, 'yaw': 6.258, 'bx': -0.021, 'by': 0.019, 'bytes': 4}
{'ID': '', 'x': -0.104, 'y': 0.051, 'yaw': 0.036, 'bx': -0.021, 'by': 0.019, 'bytes': 4}
{'ID': '', 'x': -0.063, 'y': 0.046, 'yaw': 0.035, 'bx': -0.021, 'by': 0.019, 'bytes': 4}
{'ID': '', 'x': -0.037, 'y': 0.047, 'yaw': 0.03, 'bx': 1.025, 'by': -0.172, 'bytes': 4}
{'ID': '', 'x': 0.013, 'y': 0.049, 'yaw': 6.018, 'bx': 1.025, 'by': -0.172, 'bytes': 4}
{'ID': '', 'x': 0.086, 'y': 0.029, 'yaw': 5.803, 'bx': 1.025, 'by': -0.172, 'bytes': 4}
{'ID': '', 'x': 0.16, 'y': -0.01, 'yaw': 5.747, 'bx': 1.025, 'by': -0.172, 'bytes': 4}
{'ID': '', 'x': 0.232, 'y': -0.052, 'yaw': 5.942, 'bx': 1.025, 'by': -0.172, 'bytes': 4}
{'ID': '', 'x': 0.31, 'y': -0.08, 'yaw': 6.116, 'bx': 1.025, 'by': -0.172, 'bytes': 4}
{'ID': '', 'x': 0.365, 'y': -0.089, 'yaw': 6.005, 'bx': 1.025, 'by': -0.172, 'bytes': 4}
{'ID': '', 'x': 0.392, 'y': -0.097, 'yaw': 5.852, 'bx': 1.025, 'by': -0.172, 'bytes': 4}
{'ID': '', 'x': 0.324, 'y': -0.063, 'yaw': 5.852, 'bx': 1.025, 'by': -0.172, 'bytes': 4}
{'ID': '', 'x': 0.395, 'y': -0.078, 'yaw': 5.853, 'bx': 1.025, 'by': -0.172, 'bytes': 4}
{'ID': '', 'x': 0.409, 'y': -0.084, 'yaw': 5.943, 'bx': 1.402, 'by': -0.219, 'bytes': 4}
{'ID': '', 'x': 0.439, 'y': -0.095, 'yaw': 6.117, 'bx': 1.402, 'by': -0.219, 'bytes': 4}
{'ID': '', 'x': 0.487, 'y': -0.103, 'yaw': 6.24, 'bx': 1.402, 'by': -0.219, 'bytes': 4}
{'ID': '', 'x': 0.543, 'y': -0.105, 'yaw': 6.27, 'bx': 1.402, 'by': -0.219, 'bytes': 4}
{'ID': '', 'x': 0.628, 'y': -0.106, 'yaw': 6.109, 'bx': 1.402, 'by': -0.219, 'bytes': 4}
{'ID': '', 'x': 0.711, 'y': -0.121, 'yaw': 6.069, 'bx': 1.402, 'by': -0.219, 'bytes': 4}
{'ID': '', 'x': 0.766, 'y': -0.133, 'yaw': 6.044, 'bx': 1.402, 'by': -0.219, 'bytes': 4}
{'ID': '', 'x': 0.793, 'y': -0.14, 'yaw': 6.017, 'bx': 1.402, 'by': -0.219, 'bytes': 4}
{'ID': '', 'x': 0.638, 'y': -0.111, 'yaw': 6.018, 'bx': 1.402, 'by': -0.219, 'bytes': 4}
{'ID': '', 'x': 0.708, 'y': -0.136, 'yaw': 6.018, 'bx': 1.402, 'by': -0.219, 'bytes': 4}
{'ID': '', 'x': 0.708, 'y': -0.136, 'yaw': 6.05, 'bx': 1.331, 'by': -0.246, 'bytes': 4}
