{'ID': '', 'x': 0.2, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.19, 'y': 0.019, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.048, 'y': 0.012, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.048, 'y': 0.012, 'yaw': 6.283, 'bx': 0.419, 'by': 0.012, 'bytes': 4}
{'ID': '', 'x': 0.04, 'y': 0.002, 'yaw': 0.0, 'bx': 0.419, 'by': 0.012, 'bytes': 4}
{'ID': '', 'x': -0.026, 'y': -0.019, 'yaw': 0.0, 'bx': 0.419, 'by': 0.012, 'bytes': 4}
{'ID': '', 'x': -0.01, 'y': -0.01, 'yaw': 6.252, 'bx': 0.345, 'by': -0.019, 'bytes': 4}
{'ID': '', 'x': 0.021, 'y': -0.002, 'yaw': 6.266, 'bx': 0.345, 'by': -0.019, 'bytes': 4}
{'ID': '', 'x': 0.067, 'y': 0.006, 'yaw': 6.269, 'bx': 0.345, 'by': -0.019, 'bytes': 4}
{'ID': '', 'x': 0.113, 'y': 0.014, 'yaw': 6.281, 'bx': 0.345, 'by': -0.019, 'bytes': 4}
{'ID': '', 'x': 0.16, 'y': 0.022, 'yaw': 0.006, 'bx': 0.345, 'by': -0.019, 'bytes': 4}
{'ID': '', 'x': 0.206, 'y': 0.031, 'yaw': 6.277, 'bx': 0.345, 'by': -0.019, 'bytes': 4}
{'ID': '', 'x': 0.252, 'y': 0.039, 'yaw': 6.258, 'bx': 0.345, 'by': -0.019, 'bytes': 4}
{'ID': '', 'x': 0.282, 'y': 0.038, 'yaw': 6.195, 'bx': 0.345, 'by': -0.019, 'bytes': 4}
{'ID': '', 'x': 0.145, 'y': 0.055, 'yaw': 6.264, 'bx': 0.345, 'by': -0.019, 'bytes': 4}
{'ID': '', 'x': 0.129, 'y': 0.06, 'yaw': 6.264, 'bx': 0.345, 'by': -0.019, 'bytes': 4}
