{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.411, 'y': 0.004, 'yaw': 0.001, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.407, 'y': -0.003, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.407, 'y': -0.003, 'yaw': 0.0, 'bx': -0.036, 'by': -0.003, 'bytes': 4}
{'ID': '', 'x': -0.428, 'y': -0.008, 'yaw': 0.0, 'bx': -0.036, 'by': -0.003, 'bytes': 4}
{'ID': '', 'x': -0.404, 'y': 0.02, 'yaw': 0.001, 'bx': -0.036, 'by': -0.003, 'bytes': 4}
{'ID': '', 'x': -0.389, 'y': 0.029, 'yaw': 6.249, 'bx': -0.035, 'by': 0.02, 'bytes': 4}
{'ID': '', 'x': -0.358, 'y': 0.036, 'yaw': 0.001, 'bx': -0.035, 'by': 0.02, 'bytes': 4}
{'ID': '', 'x': -0.312, 'y': 0.045, 'yaw': 6.272, 'bx': -0.035, 'by': 0.02, 'bytes': 4}
{'ID': '', 'x': -0.266, 'y': 0.053, 'yaw': 6.249, 'bx': -0.035, 'by': 0.02, 'bytes': 4}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': -0.036, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.22, 'y': 0.062, 'yaw': 0.005, 'bx': -0.035, 'by': 0.02, 'bytes': 4}
{'ID': '', 'x': -0.174, 'y': 0.07, 'yaw': 0.009, 'bx': -0.035, 'by': 0.02, 'bytes': 4}
{'ID': '', 'x': -0.128, 'y': 0.079, 'yaw': 0.012, 'bx': -0.035, 'by': 0.02, 'bytes': 4}
{'ID': '#0', 'x': -1.657, 'y': 0.0, 'yaw': 6.227, 'bx': -0.036, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.622, 'y': -0.002, 'yaw': 6.197, 'bx': -0.036, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.551, 'y': -0.008, 'yaw': 0.007, 'bx': -0.036, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.098, 'y': 0.079, 'yaw': 6.078, 'bx': -0.035, 'by': 0.02, 'bytes': 4}
{'ID': '#0', 'x': -1.48, 'y': -0.008, 'yaw': 0.013, 'bx': -0.036, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.409, 'y': -0.007, 'yaw': 6.275, 'bx': -0.036, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.338, 'y': -0.007, 'yaw': 0.011, 'bx': -0.036, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.291, 'y': -0.007, 'yaw': 0.029, 'bx': -0.036, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': -0.006, 'yaw': 0.068, 'bx': -0.036, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.132, 'y': 0.057, 'yaw': 6.127, 'bx': -0.035, 'by': 0.02, 'bytes': 4}
{'ID': '', 'x': -0.118, 'y': 0.027, 'yaw': 6.126, 'bx': -0.035, 'by': 0.02, 'bytes': 4}
{'ID': '', 'x': -0.118, 'y': 0.027, 'yaw': 6.108, 'bx': 1.122, 'by': -0.316, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': -0.006, 'yaw': 0.101, 'bx': -0.036, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.063, 'y': 0.017, 'yaw': 6.022, 'bx': 1.122, 'by': -0.316, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': -0.006, 'yaw': 0.051, 'bx': -0.036, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.019, 'y': -0.005, 'yaw': 5.881, 'bx': 1.122, 'by': -0.316, 'bytes': 4}
{'ID': '', 'x': 0.098, 'y': -0.038, 'yaw': 5.893, 'bx': 1.122, 'by': -0.316, 'bytes': 4}
{'ID': '', 'x': 0.176, 'y': -0.071, 'yaw': 5.935, 'bx': 1.122, 'by': -0.316, 'bytes': 4}
{'ID': '', 'x': 0.256, 'y': -0.1, 'yaw': 5.937, 'bx': 1.122, 'by': -0.316, 'bytes': 4}
{'ID': '', 'x': 0.309, 'y': -0.119, 'yaw': 5.852, 'bx': 1.122, 'by': -0.316, 'bytes': 4}
{'ID': '', 'x': 0.335, 'y': -0.131, 'yaw': 5.856, 'bx': 1.122, 'by': -0.316, 'bytes': 4}
{'ID': '', 'x': 0.324, 'y': -0.023, 'yaw': 5.893, 'bx': 1.122, 'by': -0.316, 'bytes': 4}
{'ID': '', 'x': 0.304, 'y': -0.027, 'yaw': 5.893, 'bx': 1.122, 'by': -0.316, 'bytes': 4}
{'ID': '', 'x': 0.304, 'y': -0.027, 'yaw': 5.948, 'bx': 1.507, 'by': -0.31, 'bytes': 4}
{'ID': '', 'x': 0.357, 'y': -0.046, 'yaw': 6.164, 'bx': 1.507, 'by': -0.31, 'bytes': 4}
{'ID': '', 'x': 0.441, 'y': -0.056, 'yaw': 6.086, 'bx': 1.507, 'by': -0.31, 'bytes': 4}
{'ID': '', 'x': 0.524, 'y': -0.073, 'yaw': 5.868, 'bx': 1.507, 'by': -0.31, 'bytes': 4}
{'ID': '', 'x': 0.601, 'y': -0.107, 'yaw': 5.762, 'bx': 1.507, 'by': -0.31, 'bytes': 4}
{'ID': '', 'x': 0.675, 'y': -0.149, 'yaw': 5.822, 'bx': 1.507, 'by': -0.31, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': -0.006, 'yaw': 0.179, 'bx': -0.036, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.725, 'y': -0.174, 'yaw': 5.985, 'bx': 1.507, 'by': -0.31, 'bytes': 4}
