{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.394, 'y': 0.006, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.414, 'y': 0.012, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.414, 'y': 0.012, 'yaw': 0.0, 'bx': -0.043, 'by': 0.012, 'bytes': 4}
{'ID': '', 'x': -0.42, 'y': 0.02, 'yaw': 0.0, 'bx': -0.043, 'by': 0.012, 'bytes': 4}
{'ID': '', 'x': -0.427, 'y': 0.023, 'yaw': 0.0, 'bx': -0.043, 'by': 0.012, 'bytes': 4}
{'ID': '', 'x': -0.412, 'y': 0.032, 'yaw': 6.274, 'bx': -0.058, 'by': 0.023, 'bytes': 4}
{'ID': '', 'x': -0.381, 'y': 0.04, 'yaw': 6.269, 'bx': -0.058, 'by': 0.023, 'bytes': 4}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 6.283, 'bx': -0.014, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.335, 'y': 0.048, 'yaw': 6.212, 'bx': -0.058, 'by': 0.023, 'bytes': 4}
{'ID': '', 'x': -0.289, 'y': 0.056, 'yaw': 0.005, 'bx': -0.058, 'by': 0.023, 'bytes': 4}
{'ID': '', 'x': -0.243, 'y': 0.064, 'yaw': 0.054, 'bx': -0.058, 'by': 0.023, 'bytes': 4}
{'ID': '', 'x': -0.196, 'y': 0.073, 'yaw': 6.274, 'bx': -0.058, 'by': 0.023, 'bytes': 4}
{'ID': '#0', 'x': -1.657, 'y': 0.0, 'yaw': 6.246, 'bx': -0.014, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.15, 'y': 0.082, 'yaw': 0.008, 'bx': -0.058, 'by': 0.023, 'bytes': 4}
{'ID': '#0', 'x': -1.622, 'y': -0.001, 'yaw': 6.219, 'bx': -0.014, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.551, 'y': -0.006, 'yaw': 6.256, 'bx': -0.014, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.48, 'y': -0.008, 'yaw': 0.038, 'bx': -0.014, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.409, 'y': -0.005, 'yaw': 0.034, 'bx': -0.014, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.119, 'y': 0.082, 'yaw': 0.176, 'bx': -0.058, 'by': 0.023, 'bytes': 4}
{'ID': '#0', 'x': -1.338, 'y': -0.003, 'yaw': 0.034, 'bx': -0.014, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.291, 'y': -0.001, 'yaw': 0.068, 'bx': -0.014, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.001, 'yaw': 0.068, 'bx': -0.014, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.189, 'y': 0.083, 'yaw': 0.224, 'bx': -0.058, 'by': 0.023, 'bytes': 4}
{'ID': '', 'x': -0.145, 'y': 0.038, 'yaw': 0.224, 'bx': -0.058, 'by': 0.023, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.001, 'yaw': 0.103, 'bx': -0.014, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.119, 'y': 0.044, 'yaw': 0.182, 'bx': 1.025, 'by': -0.186, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.001, 'yaw': 0.061, 'bx': -0.014, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.066, 'y': 0.054, 'yaw': 0.025, 'bx': 1.025, 'by': -0.186, 'bytes': 4}
{'ID': '', 'x': 0.015, 'y': 0.056, 'yaw': 5.949, 'bx': 1.025, 'by': -0.186, 'bytes': 4}
{'ID': '', 'x': 0.092, 'y': 0.03, 'yaw': 5.494, 'bx': 1.025, 'by': -0.186, 'bytes': 4}
{'ID': '', 'x': 0.152, 'y': -0.031, 'yaw': 5.134, 'bx': 1.025, 'by': -0.186, 'bytes': 4}
{'ID': '', 'x': 0.186, 'y': -0.108, 'yaw': 5.532, 'bx': 1.025, 'by': -0.186, 'bytes': 4}
{'ID': '', 'x': 0.249, 'y': -0.166, 'yaw': 5.847, 'bx': 1.025, 'by': -0.186, 'bytes': 4}
{'ID': '', 'x': 0.3, 'y': -0.19, 'yaw': 6.124, 'bx': 1.025, 'by': -0.186, 'bytes': 4}
{'ID': '', 'x': 0.328, 'y': -0.195, 'yaw': 6.032, 'bx': 1.025, 'by': -0.186, 'bytes': 4}
{'ID': '', 'x': 0.256, 'y': -0.079, 'yaw': 5.995, 'bx': 1.025, 'by': -0.186, 'bytes': 4}
{'ID': '', 'x': 0.293, 'y': -0.112, 'yaw': 5.994, 'bx': 1.025, 'by': -0.186, 'bytes': 4}
{'ID': '', 'x': 0.311, 'y': -0.118, 'yaw': 6.044, 'bx': 1.44, 'by': -0.181, 'bytes': 4}
{'ID': '', 'x': 0.346, 'y': -0.126, 'yaw': 6.24, 'bx': 1.44, 'by': -0.181, 'bytes': 4}
{'ID': '', 'x': 0.402, 'y': -0.129, 'yaw': 0.125, 'bx': 1.44, 'by': -0.181, 'bytes': 4}
{'ID': '', 'x': 0.458, 'y': -0.122, 'yaw': 0.092, 'bx': 1.44, 'by': -0.181, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.001, 'yaw': 0.194, 'bx': -0.014, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.544, 'y': -0.114, 'yaw': 6.225, 'bx': 1.44, 'by': -0.181, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.001, 'yaw': 0.452, 'bx': -0.014, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.629, 'y': -0.119, 'yaw': 6.09, 'bx': 1.44, 'by': -0.181, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.001, 'yaw': 0.622, 'bx': -0.014, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.713, 'y': -0.135, 'yaw': 6.083, 'bx': 1.44, 'by': -0.181, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.001, 'yaw': 0.852, 'bx': -0.014, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.769, 'y': -0.147, 'yaw': 6.148, 'bx': 1.44, 'by': -0.181, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.001, 'yaw': 1.061, 'bx': -0.014, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.797, 'y': -0.15, 'yaw': 6.196, 'bx': 1.44, 'by': -0.181, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.001, 'yaw': 1.277, 'bx': -0.014, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.001, 'yaw': 1.533, 'bx': -0.014, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': 0.001, 'yaw': 1.748, 'bx': -0.014, 'by': 0.0, 'bytes': 4}
