{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.414, 'y': -0.019, 'yaw': 6.283, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.439, 'y': -0.017, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.439, 'y': -0.017, 'yaw': 6.283, 'bx': -0.067, 'by': -0.017, 'bytes': 4}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.071, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.44, 'y': -0.026, 'yaw': 6.283, 'bx': -0.067, 'by': -0.017, 'bytes': 4}
{'ID': '', 'x': -0.424, 'y': -0.019, 'yaw': 6.283, 'bx': -0.067, 'by': -0.017, 'bytes': 4}
{'ID': '#0', 'x': -1.66, 'y': 0.0, 'yaw': 6.262, 'bx': 0.071, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.631, 'y': -0.001, 'yaw': 6.226, 'bx': 0.071, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.408, 'y': -0.011, 'yaw': 6.273, 'bx': -0.053, 'by': -0.02, 'bytes': 4}
{'ID': '#0', 'x': -1.571, 'y': -0.004, 'yaw': 6.27, 'bx': 0.071, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.377, 'y': -0.003, 'yaw': 6.236, 'bx': -0.053, 'by': -0.02, 'bytes': 4}
{'ID': '#0', 'x': -1.512, 'y': -0.005, 'yaw': 6.273, 'bx': 0.071, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.331, 'y': 0.005, 'yaw': 0.0, 'bx': -0.053, 'by': -0.02, 'bytes': 4}
{'ID': '#0', 'x': -1.453, 'y': -0.005, 'yaw': 0.018, 'bx': 0.071, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.285, 'y': 0.013, 'yaw': 6.262, 'bx': -0.053, 'by': -0.02, 'bytes': 4}
{'ID': '#0', 'x': -1.413, 'y': -0.005, 'yaw': 0.028, 'bx': 0.071, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.239, 'y': 0.021, 'yaw': 6.282, 'bx': -0.053, 'by': -0.02, 'bytes': 4}
{'ID': '#0', 'x': -1.393, 'y': -0.004, 'yaw': 0.033, 'bx': 0.071, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.192, 'y': 0.03, 'yaw': 6.27, 'bx': -0.053, 'by': -0.02, 'bytes': 4}
{'ID': '', 'x': -0.146, 'y': 0.038, 'yaw': 6.279, 'bx': -0.053, 'by': -0.02, 'bytes': 4}
{'ID': '#0', 'x': -1.393, 'y': -0.004, 'yaw': 0.022, 'bx': 0.071, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.116, 'y': 0.038, 'yaw': 6.253, 'bx': -0.053, 'by': -0.02, 'bytes': 4}
{'ID': '', 'x': -0.131, 'y': 0.047, 'yaw': 0.02, 'bx': -0.053, 'by': -0.02, 'bytes': 4}
{'ID': '', 'x': -0.135, 'y': 0.068, 'yaw': 0.02, 'bx': -0.053, 'by': -0.02, 'bytes': 4}
{'ID': '', 'x': -0.113, 'y': 0.068, 'yaw': 0.004, 'bx': 0.966, 'by': -0.04, 'bytes': 4}
{'ID': '', 'x': -0.07, 'y': 0.068, 'yaw': 6.017, 'bx': 0.966, 'by': -0.04, 'bytes': 4}
{'ID': '', 'x': -0.007, 'y': 0.051, 'yaw': 5.814, 'bx': 0.966, 'by': -0.04, 'bytes': 4}
{'ID': '', 'x': 0.067, 'y': 0.014, 'yaw': 5.692, 'bx': 0.966, 'by': -0.04, 'bytes': 4}
{'ID': '', 'x': 0.135, 'y': -0.032, 'yaw': 5.838, 'bx': 0.966, 'by': -0.04, 'bytes': 4}
{'ID': '', 'x': 0.185, 'y': -0.056, 'yaw': 6.077, 'bx': 0.966, 'by': -0.04, 'bytes': 4}
{'ID': '', 'x': 0.212, 'y': -0.062, 'yaw': 5.997, 'bx': 0.966, 'by': -0.04, 'bytes': 4}
{'ID': '', 'x': 0.181, 'y': -0.063, 'yaw': 5.917, 'bx': 0.966, 'by': -0.04, 'bytes': 4}
{'ID': '', 'x': 0.174, 'y': -0.085, 'yaw': 5.917, 'bx': 0.966, 'by': -0.04, 'bytes': 4}
{'ID': '', 'x': 0.197, 'y': -0.093, 'yaw': 5.985, 'bx': 1.174, 'by': -0.093, 'bytes': 4}
{'ID': '', 'x': 0.242, 'y': -0.107, 'yaw': 6.23, 'bx': 1.174, 'by': -0.093, 'bytes': 4}
{'ID': '', 'x': 0.314, 'y': -0.111, 'yaw': 0.16, 'bx': 1.174, 'by': -0.093, 'bytes': 4}
{'ID': '', 'x': 0.385, 'y': -0.1, 'yaw': 0.318, 'bx': 1.174, 'by': -0.093, 'bytes': 4}
{'ID': '', 'x': 0.453, 'y': -0.077, 'yaw': 0.441, 'bx': 1.174, 'by': -0.093, 'bytes': 4}
{'ID': '', 'x': 0.53, 'y': -0.041, 'yaw': 0.458, 'bx': 1.174, 'by': -0.093, 'bytes': 4}
{'ID': '', 'x': 0.606, 'y': -0.004, 'yaw': 0.285, 'bx': 1.174, 'by': -0.093, 'bytes': 4}
{'ID': '', 'x': 0.687, 'y': 0.02, 'yaw': 0.146, 'bx': 1.174, 'by': -0.093, 'bytes': 4}
{'ID': '', 'x': 0.779, 'y': 0.034, 'yaw': 0.154, 'bx': 1.174, 'by': -0.093, 'bytes': 4}
{'ID': '', 'x': 0.871, 'y': 0.048, 'yaw': 0.017, 'bx': 1.174, 'by': -0.093, 'bytes': 4}
{'ID': '', 'x': 0.932, 'y': 0.049, 'yaw': 5.929, 'bx': 1.174, 'by': -0.093, 'bytes': 4}
{'ID': '', 'x': 0.961, 'y': 0.038, 'yaw': 5.678, 'bx': 1.174, 'by': -0.093, 'bytes': 4}
{'ID': '', 'x': 0.961, 'y': 0.038, 'yaw': 5.768, 'bx': 1.174, 'by': -0.093, 'bytes': 4}
{'ID': '', 'x': 0.961, 'y': 0.038, 'yaw': 6.093, 'bx': 1.174, 'by': -0.093, 'bytes': 4}
{'ID': '', 'x': 0.961, 'y': 0.038, 'yaw': 6.204, 'bx': 1.174, 'by': -0.093, 'bytes': 4}
{'ID': '#0', 'x': -1.393, 'y': -0.004, 'yaw': 0.307, 'bx': -0.44, 'by': 0.06, 'bytes': 4}
{'ID': '', 'x': 0.961, 'y': 0.038, 'yaw': 6.037, 'bx': 1.174, 'by': -0.093, 'bytes': 4}
{'ID': '', 'x': 0.919, 'y': 0.092, 'yaw': 5.991, 'bx': 1.174, 'by': -0.093, 'bytes': 4}
