{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.383, 'y': -0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.394, 'y': -0.006, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.394, 'y': -0.006, 'yaw': 6.283, 'bx': -0.021, 'by': -0.006}
{'ID': '', 'x': -0.412, 'y': -0.005, 'yaw': 0.0, 'bx': -0.021, 'by': -0.006}
{'ID': '', 'x': -0.436, 'y': 0.016, 'yaw': 0.0, 'bx': -0.021, 'by': -0.006}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': -0.018, 'by': 0.0}
{'ID': '', 'x': -0.421, 'y': 0.024, 'yaw': 0.014, 'bx': -0.066, 'by': 0.016}
