{'ID': '', 'x': 0.2, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.203, 'y': 0.009, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.031, 'y': 0.003, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.031, 'y': 0.003, 'yaw': 0.0, 'bx': 0.402, 'by': 0.003, 'bytes': 4}
{'ID': '', 'x': 0.042, 'y': -0.002, 'yaw': 0.0, 'bx': 0.402, 'by': 0.003, 'bytes': 4}
{'ID': '', 'x': -0.079, 'y': 0.008, 'yaw': 0.0, 'bx': 0.402, 'by': 0.003, 'bytes': 4}
{'ID': '', 'x': -0.064, 'y': 0.016, 'yaw': 0.006, 'bx': 0.29, 'by': 0.008, 'bytes': 4}
{'ID': '', 'x': -0.033, 'y': 0.025, 'yaw': 6.237, 'bx': 0.29, 'by': 0.008, 'bytes': 4}
{'ID': '', 'x': 0.013, 'y': 0.032, 'yaw': 6.221, 'bx': 0.29, 'by': 0.008, 'bytes': 4}
{'ID': '', 'x': 0.059, 'y': 0.04, 'yaw': 0.006, 'bx': 0.29, 'by': 0.008, 'bytes': 4}
{'ID': '', 'x': 0.105, 'y': 0.048, 'yaw': 0.016, 'bx': 0.29, 'by': 0.008, 'bytes': 4}
{'ID': '', 'x': 0.151, 'y': 0.057, 'yaw': 6.266, 'bx': 0.29, 'by': 0.008, 'bytes': 4}
{'ID': '', 'x': 0.197, 'y': 0.066, 'yaw': 0.028, 'bx': 0.29, 'by': 0.008, 'bytes': 4}
{'ID': '', 'x': 0.228, 'y': 0.067, 'yaw': 0.037, 'bx': 0.29, 'by': 0.008, 'bytes': 4}
{'ID': '', 'x': 0.124, 'y': 0.08, 'yaw': 0.081, 'bx': 0.29, 'by': 0.008, 'bytes': 4}
{'ID': '', 'x': 0.127, 'y': 0.1, 'yaw': 0.08, 'bx': 0.29, 'by': 0.008, 'bytes': 4}
{'ID': '', 'x': 0.141, 'y': 0.101, 'yaw': 0.041, 'bx': 1.329, 'by': -0.159, 'bytes': 4}
{'ID': '', 'x': 0.169, 'y': 0.102, 'yaw': 6.103, 'bx': 1.329, 'by': -0.159, 'bytes': 4}
{'ID': '', 'x': 0.211, 'y': 0.095, 'yaw': 5.718, 'bx': 1.329, 'by': -0.159, 'bytes': 4}
{'ID': '', 'x': 0.259, 'y': 0.064, 'yaw': 5.689, 'bx': 1.329, 'by': -0.159, 'bytes': 4}
{'ID': '', 'x': 0.329, 'y': 0.017, 'yaw': 6.03, 'bx': 1.329, 'by': -0.159, 'bytes': 4}
{'ID': '', 'x': 0.412, 'y': -0.005, 'yaw': 6.18, 'bx': 1.329, 'by': -0.159, 'bytes': 4}
{'ID': '', 'x': 0.496, 'y': -0.013, 'yaw': 6.035, 'bx': 1.329, 'by': -0.159, 'bytes': 4}
{'ID': '', 'x': 0.551, 'y': -0.027, 'yaw': 5.871, 'bx': 1.329, 'by': -0.159, 'bytes': 4}
{'ID': '', 'x': 0.577, 'y': -0.039, 'yaw': 5.85, 'bx': 1.329, 'by': -0.159, 'bytes': 4}
{'ID': '', 'x': 0.471, 'y': 0.044, 'yaw': 5.884, 'bx': 1.329, 'by': -0.159, 'bytes': 4}
{'ID': '', 'x': 0.56, 'y': 0.011, 'yaw': 5.884, 'bx': 1.329, 'by': -0.159, 'bytes': 4}
{'ID': '', 'x': 0.574, 'y': 0.005, 'yaw': 6.035, 'bx': 1.768, 'by': -0.206, 'bytes': 4}
{'ID': '', 'x': 0.604, 'y': -0.003, 'yaw': 6.216, 'bx': 1.768, 'by': -0.206, 'bytes': 4}
{'ID': '', 'x': 0.66, 'y': -0.007, 'yaw': 6.275, 'bx': 1.768, 'by': -0.206, 'bytes': 4}
{'ID': '', 'x': 0.745, 'y': -0.007, 'yaw': 6.106, 'bx': 1.768, 'by': -0.206, 'bytes': 4}
{'ID': '', 'x': 0.829, 'y': -0.022, 'yaw': 5.918, 'bx': 1.768, 'by': -0.206, 'bytes': 4}
{'ID': '', 'x': 0.909, 'y': -0.053, 'yaw': 5.891, 'bx': 1.768, 'by': -0.206, 'bytes': 4}
{'ID': '', 'x': 0.987, 'y': -0.085, 'yaw': 6.118, 'bx': 1.768, 'by': -0.206, 'bytes': 4}
{'ID': '', 'x': 1.043, 'y': -0.095, 'yaw': 6.169, 'bx': 1.768, 'by': -0.206, 'bytes': 4}
{'ID': '', 'x': 1.071, 'y': -0.098, 'yaw': 6.038, 'bx': 1.768, 'by': -0.206, 'bytes': 4}
{'ID': '', 'x': 0.934, 'y': -0.03, 'yaw': 5.976, 'bx': 1.768, 'by': -0.206, 'bytes': 4}
{'ID': '', 'x': 0.982, 'y': -0.089, 'yaw': 5.976, 'bx': 1.768, 'by': -0.206, 'bytes': 4}
{'ID': '', 'x': 0.982, 'y': -0.089, 'yaw': 5.94, 'bx': 1.692, 'by': -0.243, 'bytes': 4}
{'ID': '', 'x': 1.007, 'y': -0.099, 'yaw': 5.916, 'bx': 1.692, 'by': -0.243, 'bytes': 4}
{'ID': '', 'x': 1.057, 'y': -0.118, 'yaw': 5.865, 'bx': 1.692, 'by': -0.243, 'bytes': 4}
{'ID': '', 'x': 1.131, 'y': -0.15, 'yaw': 5.898, 'bx': 1.692, 'by': -0.243, 'bytes': 4}
{'ID': '', 'x': 1.205, 'y': -0.181, 'yaw': 5.917, 'bx': 1.692, 'by': -0.243, 'bytes': 4}
{'ID': '', 'x': 1.28, 'y': -0.21, 'yaw': 6.003, 'bx': 1.692, 'by': -0.243, 'bytes': 4}
{'ID': '', 'x': 1.363, 'y': -0.233, 'yaw': 6.026, 'bx': 1.692, 'by': -0.243, 'bytes': 4}
{'ID': '', 'x': 1.419, 'y': -0.248, 'yaw': 6.124, 'bx': 1.692, 'by': -0.243, 'bytes': 4}
{'ID': '', 'x': 1.447, 'y': -0.253, 'yaw': 0.099, 'bx': 1.692, 'by': -0.243, 'bytes': 4}
{'ID': '', 'x': 1.447, 'y': -0.253, 'yaw': 0.251, 'bx': 1.692, 'by': -0.243, 'bytes': 4}
{'ID': '', 'x': 1.447, 'y': -0.253, 'yaw': 0.055, 'bx': 1.692, 'by': -0.243, 'bytes': 4}
{'ID': '', 'x': 1.447, 'y': -0.253, 'yaw': 6.162, 'bx': 1.692, 'by': -0.243, 'bytes': 4}
