{'ID': '', 'x': 0.2, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.173, 'y': -0.012, 'yaw': 6.283, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.044, 'y': -0.019, 'yaw': 6.283, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.044, 'y': -0.019, 'yaw': 0.0, 'bx': 0.327, 'by': -0.019, 'bytes': 4}
{'ID': '', 'x': 0.025, 'y': -0.017, 'yaw': 0.001, 'bx': 0.327, 'by': -0.019, 'bytes': 4}
{'ID': '', 'x': -0.09, 'y': 0.001, 'yaw': 0.0, 'bx': 0.327, 'by': -0.019, 'bytes': 4}
{'ID': '', 'x': -0.074, 'y': 0.01, 'yaw': 6.249, 'bx': 0.281, 'by': 0.001, 'bytes': 4}
{'ID': '', 'x': -0.043, 'y': 0.018, 'yaw': 6.265, 'bx': 0.281, 'by': 0.001, 'bytes': 4}
{'ID': '', 'x': 0.003, 'y': 0.026, 'yaw': 6.258, 'bx': 0.281, 'by': 0.001, 'bytes': 4}
{'ID': '', 'x': 0.049, 'y': 0.034, 'yaw': 6.243, 'bx': 0.281, 'by': 0.001, 'bytes': 4}
{'ID': '', 'x': 0.095, 'y': 0.041, 'yaw': 6.254, 'bx': 0.281, 'by': 0.001, 'bytes': 4}
{'ID': '', 'x': 0.142, 'y': 0.049, 'yaw': 0.013, 'bx': 0.281, 'by': 0.001, 'bytes': 4}
{'ID': '', 'x': 0.188, 'y': 0.058, 'yaw': 0.023, 'bx': 0.281, 'by': 0.001, 'bytes': 4}
{'ID': '', 'x': 0.218, 'y': 0.059, 'yaw': 0.076, 'bx': 0.281, 'by': 0.001, 'bytes': 4}
{'ID': '', 'x': 0.098, 'y': 0.073, 'yaw': 0.163, 'bx': 0.281, 'by': 0.001, 'bytes': 4}
{'ID': '', 'x': 0.063, 'y': 0.068, 'yaw': 0.162, 'bx': 0.281, 'by': 0.001, 'bytes': 4}
{'ID': '', 'x': 0.08, 'y': 0.071, 'yaw': 0.166, 'bx': 1.081, 'by': -0.05, 'bytes': 4}
{'ID': '', 'x': 0.114, 'y': 0.076, 'yaw': 0.03, 'bx': 1.081, 'by': -0.05, 'bytes': 4}
{'ID': '', 'x': 0.167, 'y': 0.078, 'yaw': 6.046, 'bx': 1.081, 'by': -0.05, 'bytes': 4}
{'ID': '', 'x': 0.221, 'y': 0.065, 'yaw': 5.988, 'bx': 1.081, 'by': -0.05, 'bytes': 4}
{'ID': '', 'x': 0.302, 'y': 0.04, 'yaw': 6.092, 'bx': 1.081, 'by': -0.05, 'bytes': 4}
{'ID': '', 'x': 0.385, 'y': 0.024, 'yaw': 6.257, 'bx': 1.081, 'by': -0.05, 'bytes': 4}
{'ID': '', 'x': 0.469, 'y': 0.022, 'yaw': 0.047, 'bx': 1.081, 'by': -0.05, 'bytes': 4}
{'ID': '', 'x': 0.526, 'y': 0.025, 'yaw': 6.133, 'bx': 1.081, 'by': -0.05, 'bytes': 4}
{'ID': '', 'x': 0.553, 'y': 0.02, 'yaw': 6.052, 'bx': 1.081, 'by': -0.05, 'bytes': 4}
{'ID': '', 'x': 0.438, 'y': 0.036, 'yaw': 6.08, 'bx': 1.081, 'by': -0.05, 'bytes': 4}
{'ID': '', 'x': 0.534, 'y': 0.036, 'yaw': 6.08, 'bx': 1.081, 'by': -0.05, 'bytes': 4}
{'ID': '', 'x': 0.534, 'y': 0.036, 'yaw': 6.148, 'bx': 1.45, 'by': -0.106, 'bytes': 4}
{'ID': '', 'x': 0.562, 'y': 0.032, 'yaw': 6.127, 'bx': 1.45, 'by': -0.106, 'bytes': 4}
{'ID': '', 'x': 0.618, 'y': 0.023, 'yaw': 6.033, 'bx': 1.45, 'by': -0.106, 'bytes': 4}
{'ID': '', 'x': 0.7, 'y': 0.003, 'yaw': 6.02, 'bx': 1.45, 'by': -0.106, 'bytes': 4}
{'ID': '', 'x': 0.781, 'y': -0.019, 'yaw': 6.06, 'bx': 1.45, 'by': -0.106, 'bytes': 4}
{'ID': '', 'x': 0.864, 'y': -0.038, 'yaw': 6.03, 'bx': 1.45, 'by': -0.106, 'bytes': 4}
{'ID': '', 'x': 0.946, 'y': -0.059, 'yaw': 6.039, 'bx': 1.45, 'by': -0.106, 'bytes': 4}
{'ID': '', 'x': 1.028, 'y': -0.08, 'yaw': 6.006, 'bx': 1.45, 'by': -0.106, 'bytes': 4}
{'ID': '', 'x': 1.109, 'y': -0.103, 'yaw': 6.045, 'bx': 1.45, 'by': -0.106, 'bytes': 4}
{'ID': '', 'x': 1.151, 'y': -0.113, 'yaw': 6.072, 'bx': 1.45, 'by': -0.106, 'bytes': 4}
{'ID': '', 'x': 1.18, 'y': -0.119, 'yaw': 6.187, 'bx': 1.45, 'by': -0.106, 'bytes': 4}
{'ID': '', 'x': 1.194, 'y': -0.121, 'yaw': 0.086, 'bx': 1.45, 'by': -0.106, 'bytes': 4}
{'ID': '', 'x': 1.194, 'y': -0.121, 'yaw': 0.12, 'bx': 1.45, 'by': -0.106, 'bytes': 4}
{'ID': '', 'x': 1.194, 'y': -0.121, 'yaw': 0.008, 'bx': 1.45, 'by': -0.106, 'bytes': 4}
{'ID': '', 'x': 1.194, 'y': -0.121, 'yaw': 6.204, 'bx': 1.45, 'by': -0.106, 'bytes': 4}
{'ID': '', 'x': 1.194, 'y': -0.121, 'yaw': 0.002, 'bx': 1.45, 'by': -0.106, 'bytes': 4}
