{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.405, 'y': 0.007, 'yaw': 6.283, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.417, 'y': 0.003, 'yaw': 6.283, 'bx': 0.0, 'by': 0.0}
{'ID': '', 'x': -0.417, 'y': 0.003, 'yaw': 0.0, 'bx': -0.045, 'by': 0.003}
{'ID': '', 'x': -0.408, 'y': 0.052, 'yaw': 6.283, 'bx': -0.045, 'by': 0.003}
{'ID': '', 'x': -0.414, 'y': 0.05, 'yaw': 6.283, 'bx': -0.045, 'by': 0.003}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 6.283, 'bx': -0.041, 'by': 0.0}
{'ID': '', 'x': -0.399, 'y': 0.059, 'yaw': 0.006, 'bx': -0.044, 'by': 0.05}
{'ID': '', 'x': -0.368, 'y': 0.067, 'yaw': 6.226, 'bx': -0.044, 'by': 0.05}
{'ID': '', 'x': -0.322, 'y': 0.074, 'yaw': 6.221, 'bx': -0.044, 'by': 0.05}
{'ID': '', 'x': -0.276, 'y': 0.082, 'yaw': 6.266, 'bx': -0.044, 'by': 0.05}
{'ID': '#0', 'x': -1.657, 'y': 0.0, 'yaw': 6.28, 'bx': -0.041, 'by': 0.0}
{'ID': '', 'x': -0.229, 'y': 0.09, 'yaw': 0.055, 'bx': -0.044, 'by': 0.05}
{'ID': '#0', 'x': -1.622, 'y': -0.0, 'yaw': 6.202, 'bx': -0.041, 'by': 0.0}
{'ID': '', 'x': -0.183, 'y': 0.099, 'yaw': 0.072, 'bx': -0.044, 'by': 0.05}
{'ID': '#0', 'x': -1.551, 'y': -0.006, 'yaw': 6.237, 'bx': -0.041, 'by': 0.0}
{'ID': '', 'x': -0.136, 'y': 0.109, 'yaw': 6.24, 'bx': -0.044, 'by': 0.05}
{'ID': '#0', 'x': -1.48, 'y': -0.009, 'yaw': 0.064, 'bx': -0.041, 'by': 0.0}
{'ID': '#0', 'x': -1.409, 'y': -0.005, 'yaw': 0.025, 'bx': -0.041, 'by': 0.0}
{'ID': '#0', 'x': -1.338, 'y': -0.003, 'yaw': 6.268, 'bx': -0.041, 'by': 0.0}
{'ID': '#0', 'x': -1.291, 'y': -0.004, 'yaw': 0.074, 'bx': -0.041, 'by': 0.0}
{'ID': '', 'x': -0.106, 'y': 0.107, 'yaw': 0.159, 'bx': -0.044, 'by': 0.05}
{'ID': '#0', 'x': -1.267, 'y': -0.002, 'yaw': 0.104, 'bx': -0.041, 'by': 0.0}
