{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.376, 'y': -0.006, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.401, 'y': -0.011, 'yaw': 0.001, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.091, 'by': 0.005, 'bytes': 4}
{'ID': '', 'x': -0.401, 'y': -0.011, 'yaw': 0.0, 'bx': -0.03, 'by': -0.01, 'bytes': 4}
{'ID': '#0', 'x': -1.66, 'y': 0.0, 'yaw': 6.23, 'bx': 0.091, 'by': 0.005, 'bytes': 4}
{'ID': '', 'x': -0.415, 'y': -0.03, 'yaw': 0.0, 'bx': -0.03, 'by': -0.01, 'bytes': 4}
{'ID': '#0', 'x': -1.631, 'y': -0.001, 'yaw': 6.193, 'bx': 0.091, 'by': 0.005, 'bytes': 4}
{'ID': '', 'x': -0.371, 'y': -0.008, 'yaw': 0.001, 'bx': -0.03, 'by': -0.01, 'bytes': 4}
{'ID': '#0', 'x': -1.571, 'y': -0.006, 'yaw': 0.0, 'bx': 0.091, 'by': 0.005, 'bytes': 4}
{'ID': '#0', 'x': -1.512, 'y': -0.006, 'yaw': 0.011, 'bx': 0.091, 'by': 0.005, 'bytes': 4}
{'ID': '', 'x': -0.355, 'y': 0.001, 'yaw': 6.268, 'bx': 0.0, 'by': -0.007, 'bytes': 4}
{'ID': '#0', 'x': -1.453, 'y': -0.005, 'yaw': 0.012, 'bx': 0.091, 'by': 0.005, 'bytes': 4}
{'ID': '', 'x': -0.324, 'y': 0.009, 'yaw': 6.227, 'bx': 0.0, 'by': -0.007, 'bytes': 4}
{'ID': '#0', 'x': -1.413, 'y': -0.005, 'yaw': 0.011, 'bx': 0.091, 'by': 0.005, 'bytes': 4}
{'ID': '', 'x': -0.278, 'y': 0.016, 'yaw': 6.279, 'bx': 0.0, 'by': -0.007, 'bytes': 4}
{'ID': '#0', 'x': -1.393, 'y': -0.004, 'yaw': 0.036, 'bx': 0.091, 'by': 0.005, 'bytes': 4}
{'ID': '', 'x': -0.232, 'y': 0.025, 'yaw': 6.283, 'bx': 0.0, 'by': -0.007, 'bytes': 4}
{'ID': '', 'x': -0.185, 'y': 0.033, 'yaw': 0.004, 'bx': 0.0, 'by': -0.007, 'bytes': 4}
{'ID': '', 'x': -0.139, 'y': 0.042, 'yaw': 6.275, 'bx': 0.0, 'by': -0.007, 'bytes': 4}
{'ID': '', 'x': -0.093, 'y': 0.05, 'yaw': 6.278, 'bx': 0.0, 'by': -0.007, 'bytes': 4}
{'ID': '#0', 'x': -1.393, 'y': -0.004, 'yaw': 0.035, 'bx': 0.091, 'by': 0.005, 'bytes': 4}
