{'ID': '', 'x': 0.2, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.2, 'y': 0.012, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.009, 'y': 0.012, 'yaw': 6.283, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.009, 'y': 0.012, 'yaw': 6.283, 'bx': 0.381, 'by': 0.011, 'bytes': 4}
{'ID': '', 'x': -0.01, 'y': 0.019, 'yaw': 0.0, 'bx': 0.381, 'by': 0.011, 'bytes': 4}
{'ID': '', 'x': -0.116, 'y': 0.039, 'yaw': 0.0, 'bx': 0.381, 'by': 0.011, 'bytes': 4}
{'ID': '', 'x': -0.1, 'y': 0.047, 'yaw': 6.24, 'bx': 0.254, 'by': 0.039, 'bytes': 4}
{'ID': '', 'x': -0.07, 'y': 0.055, 'yaw': 6.215, 'bx': 0.254, 'by': 0.039, 'bytes': 4}
{'ID': '', 'x': -0.024, 'y': 0.062, 'yaw': 0.002, 'bx': 0.254, 'by': 0.039, 'bytes': 4}
{'ID': '', 'x': 0.023, 'y': 0.07, 'yaw': 0.044, 'bx': 0.254, 'by': 0.039, 'bytes': 4}
{'ID': '', 'x': 0.069, 'y': 0.08, 'yaw': 0.047, 'bx': 0.254, 'by': 0.039, 'bytes': 4}
{'ID': '', 'x': 0.115, 'y': 0.089, 'yaw': 6.279, 'bx': 0.254, 'by': 0.039, 'bytes': 4}
{'ID': '', 'x': 0.162, 'y': 0.098, 'yaw': 6.192, 'bx': 0.254, 'by': 0.039, 'bytes': 4}
{'ID': '', 'x': 0.192, 'y': 0.095, 'yaw': 0.006, 'bx': 0.254, 'by': 0.039, 'bytes': 4}
{'ID': '', 'x': 0.059, 'y': 0.078, 'yaw': 0.088, 'bx': 0.254, 'by': 0.039, 'bytes': 4}
