{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.389, 'y': 0.002, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.398, 'y': -0.001, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.398, 'y': -0.001, 'yaw': 0.0, 'bx': -0.026, 'by': -0.001, 'bytes': 4}
{'ID': '', 'x': -0.419, 'y': 0.027, 'yaw': 0.0, 'bx': -0.026, 'by': -0.001, 'bytes': 4}
{'ID': '', 'x': -0.413, 'y': 0.021, 'yaw': 0.0, 'bx': -0.026, 'by': -0.001, 'bytes': 4}
{'ID': '', 'x': -0.398, 'y': 0.029, 'yaw': 6.256, 'bx': -0.044, 'by': 0.021, 'bytes': 4}
{'ID': '', 'x': -0.367, 'y': 0.037, 'yaw': 6.247, 'bx': -0.044, 'by': 0.021, 'bytes': 4}
{'ID': '', 'x': -0.32, 'y': 0.044, 'yaw': 6.246, 'bx': -0.044, 'by': 0.021, 'bytes': 4}
{'ID': '', 'x': -0.274, 'y': 0.052, 'yaw': 6.261, 'bx': -0.044, 'by': 0.021, 'bytes': 4}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': -0.033, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.228, 'y': 0.061, 'yaw': 0.028, 'bx': -0.044, 'by': 0.021, 'bytes': 4}
{'ID': '', 'x': -0.182, 'y': 0.07, 'yaw': 0.013, 'bx': -0.044, 'by': 0.021, 'bytes': 4}
{'ID': '', 'x': -0.136, 'y': 0.079, 'yaw': 0.009, 'bx': -0.044, 'by': 0.021, 'bytes': 4}
{'ID': '#0', 'x': -1.657, 'y': 0.0, 'yaw': 6.236, 'bx': -0.033, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.622, 'y': -0.002, 'yaw': 6.213, 'bx': -0.033, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.551, 'y': -0.007, 'yaw': 0.022, 'bx': -0.033, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.48, 'y': -0.005, 'yaw': 6.272, 'bx': -0.033, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.106, 'y': 0.079, 'yaw': 6.176, 'bx': -0.044, 'by': 0.021, 'bytes': 4}
{'ID': '#0', 'x': -1.409, 'y': -0.006, 'yaw': 6.178, 'bx': -0.033, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.338, 'y': -0.013, 'yaw': 6.281, 'bx': -0.033, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.291, 'y': -0.013, 'yaw': 0.129, 'bx': -0.033, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.268, 'y': -0.01, 'yaw': 0.219, 'bx': -0.033, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.154, 'y': 0.092, 'yaw': 6.252, 'bx': -0.044, 'by': 0.021, 'bytes': 4}
{'ID': '', 'x': -0.116, 'y': 0.098, 'yaw': 6.252, 'bx': -0.044, 'by': 0.021, 'bytes': 4}
{'ID': '', 'x': -0.116, 'y': 0.098, 'yaw': 6.254, 'bx': 0.701, 'by': -0.065, 'bytes': 4}
{'ID': '#0', 'x': -1.268, 'y': -0.01, 'yaw': 0.17, 'bx': -0.033, 'by': 0.0, 'bytes': 4}
