{'ID': '', 'x': 0.2, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.229, 'y': 0.0, 'yaw': 0.056, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.286, 'y': 0.003, 'yaw': 0.087, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.371, 'y': 0.011, 'yaw': 0.03, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.456, 'y': 0.013, 'yaw': 6.19, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.542, 'y': 0.005, 'yaw': 6.219, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.627, 'y': -0.0, 'yaw': 0.009, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.713, 'y': 0.001, 'yaw': 0.103, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.798, 'y': 0.009, 'yaw': 6.276, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.883, 'y': 0.009, 'yaw': 6.174, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.968, 'y': -0.001, 'yaw': 6.221, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 1.054, 'y': -0.006, 'yaw': 6.265, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
