{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.412, 'y': -0.021, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.412, 'y': -0.004, 'yaw': 6.283, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.412, 'y': -0.004, 'yaw': 0.0, 'bx': -0.04, 'by': -0.004, 'bytes': 4}
{'ID': '', 'x': -0.432, 'y': -0.02, 'yaw': 6.283, 'bx': -0.04, 'by': -0.004, 'bytes': 4}
{'ID': '', 'x': -0.414, 'y': -0.002, 'yaw': 6.283, 'bx': -0.04, 'by': -0.004, 'bytes': 4}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 6.283, 'bx': 0.069, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.398, 'y': 0.007, 'yaw': 6.274, 'bx': -0.043, 'by': -0.002, 'bytes': 4}
{'ID': '', 'x': -0.367, 'y': 0.015, 'yaw': 6.225, 'bx': -0.043, 'by': -0.002, 'bytes': 4}
{'ID': '', 'x': -0.321, 'y': 0.022, 'yaw': 6.281, 'bx': -0.043, 'by': -0.002, 'bytes': 4}
{'ID': '#0', 'x': -1.66, 'y': -0.0, 'yaw': 6.255, 'bx': 0.069, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.275, 'y': 0.03, 'yaw': 6.268, 'bx': -0.043, 'by': -0.002, 'bytes': 4}
{'ID': '#0', 'x': -1.631, 'y': -0.001, 'yaw': 6.222, 'bx': 0.069, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.229, 'y': 0.039, 'yaw': 6.274, 'bx': -0.043, 'by': -0.002, 'bytes': 4}
{'ID': '#0', 'x': -1.571, 'y': -0.004, 'yaw': 6.27, 'bx': 0.069, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.182, 'y': 0.047, 'yaw': 6.271, 'bx': -0.043, 'by': -0.002, 'bytes': 4}
{'ID': '#0', 'x': -1.512, 'y': -0.005, 'yaw': 6.279, 'bx': 0.069, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.136, 'y': 0.055, 'yaw': 0.012, 'bx': -0.043, 'by': -0.002, 'bytes': 4}
