{'bx': 0.0, 'by': 0.0, 'ID': 'v', 'x': -0.45, 'y': 0.0, 'yaw': 6.283}
{'bx': 0.0, 'by': 0.0, 'ID': 'v', 'x': -0.457, 'y': 0.001, 'yaw': 6.281}
{'bx': 0.0, 'by': 0.0, 'ID': 'v', 'x': -0.408, 'y': -0.018, 'yaw': 6.281}
{'bx': 0.05900001, 'by': -0.021, 'ID': 'v', 'x': -0.408, 'y': -0.018, 'yaw': 6.281}
{'bx': 0.05900001, 'by': -0.021, 'ID': 'v', 'x': -0.408, 'y': -0.018, 'yaw': 0.002}
{'bx': 0.05900001, 'by': -0.021, 'ID': 'v', 'x': -0.432, 'y': 0.025, 'yaw': 0.002}
{'bx': 0.05900001, 'by': -0.021, 'ID': 'v', 'x': -0.394, 'y': 0.038, 'yaw': 0.002}
{'bx': 0.089, 'by': 0.035, 'ID': 'v', 'x': -0.377, 'y': 0.042, 'yaw': 6.233}
{'bx': 0.089, 'by': 0.035, 'ID': 'v', 'x': -0.343, 'y': 0.046, 'yaw': 6.062}
{'bx': 0.089, 'by': 0.035, 'ID': 'v', 'x': -0.291, 'y': 0.046, 'yaw': 6.044}
{'bx': 0.089, 'by': 0.035, 'ID': 'v', 'x': -0.237, 'y': 0.058, 'yaw': 6.166}
{'bx': 0.089, 'by': 0.035, 'ID': 'v', 'x': -0.186, 'y': 0.081, 'yaw': 6.275}
{'bx': 0.089, 'by': 0.035, 'ID': 'v', 'x': -0.135, 'y': 0.11, 'yaw': 0.017}
{'bx': 0.089, 'by': 0.035, 'ID': 'v', 'x': -0.084, 'y': 0.139, 'yaw': 6.263}
{'bx': 0.089, 'by': 0.035, 'ID': 'v', 'x': -0.033, 'y': 0.168, 'yaw': 6.249}
{'bx': 0.089, 'by': 0.035, 'ID': 'v', 'x': 0.018, 'y': 0.197, 'yaw': 6.225}
{'bx': 0.089, 'by': 0.035, 'ID': 'v', 'x': 0.069, 'y': 0.229, 'yaw': 6.202}
{'bx': 0.089, 'by': 0.035, 'ID': 'v', 'x': 0.12, 'y': 0.262, 'yaw': 6.25}
{'bx': 0.089, 'by': 0.035, 'ID': 'v', 'x': 0.045, 'y': 0.265, 'yaw': 0.377}
