{'bx': 1.031, 'by': 0.035, 'ID': 'v', 'x': 0.95, 'y': 0.063, 'yaw': 0.103}
{'bx': 1.031, 'by': 0.035, 'ID': 'v', 'x': 0.9940001, 'y': 0.094, 'yaw': 0.1}
{'bx': 1.031, 'by': 0.035, 'ID': 'v', 'x': 1.038, 'y': 0.13, 'yaw': 0.15}
{'bx': 1.031, 'by': 0.035, 'ID': 'v', 'x': 0.9639999, 'y': 0.119, 'yaw': 3.125}
{'bx': 1.031, 'by': 0.035, 'ID': 'v', 'x': 0.9639999, 'y': 0.119, 'yaw': 0.172}
{'bx': 1.031, 'by': 0.035, 'ID': 'v', 'x': 0.9639999, 'y': 0.119, 'yaw': 0.431}
{'bx': 1.031, 'by': 0.035, 'ID': 'v', 'x': 0.975, 'y': 0.049, 'yaw': 0.47}
{'bx': 1.031, 'by': 0.035, 'ID': 'v', 'x': 0.978, 'y': 0.21, 'yaw': 0.47}
{'bx': 1.259, 'by': 0.216, 'ID': 'v', 'x': 0.978, 'y': 0.21, 'yaw': 0.47}
{'bx': 1.259, 'by': 0.216, 'ID': 'v', 'x': 0.978, 'y': 0.21, 'yaw': 0.417}
{'bx': 1.259, 'by': 0.216, 'ID': 'v', 'x': 0.978, 'y': 0.21, 'yaw': 0.223}
{'bx': 1.259, 'by': 0.216, 'ID': 'v', 'x': 0.978, 'y': 0.21, 'yaw': 0.113}
{'bx': 1.259, 'by': 0.216, 'ID': 'v', 'x': 1.023, 'y': 0.09700001, 'yaw': 0.127}
{'bx': 1.259, 'by': 0.216, 'ID': 'v', 'x': 0.953, 'y': 0.144, 'yaw': 0.127}
{'bx': 1.193, 'by': 0.15, 'ID': 'v', 'x': 0.963, 'y': 0.149, 'yaw': 0.143}
{'bx': 1.193, 'by': 0.15, 'ID': 'v', 'x': 0.983, 'y': 0.155, 'yaw': 6.261}
{'bx': 1.193, 'by': 0.15, 'ID': 'v', 'x': 1.013, 'y': 0.161, 'yaw': 6.269}
{'bx': 1.193, 'by': 0.15, 'ID': 'v', 'x': 1.044, 'y': 0.171, 'yaw': 0.035}
{'bx': 1.193, 'by': 0.15, 'ID': 'v', 'x': 1.073, 'y': 0.186, 'yaw': 0.058}
{'bx': 1.193, 'by': 0.15, 'ID': 'v', 'x': 1.102, 'y': 0.203, 'yaw': 0.056}
{'bx': 1.193, 'by': 0.15, 'ID': 'v', 'x': 1.13, 'y': 0.223, 'yaw': 0.033}
{'bx': 1.193, 'by': 0.15, 'ID': 'v', 'x': 1.159, 'y': 0.245, 'yaw': 0.016}
{'bx': 1.193, 'by': 0.15, 'ID': 'v', 'x': 1.084, 'y': 0.244, 'yaw': 0.364}
