{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.382, 'y': 0.006, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.406, 'y': 0.003, 'yaw': 6.283, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.406, 'y': 0.003, 'yaw': 6.283, 'bx': -0.035, 'by': 0.003, 'bytes': 4}
{'ID': '', 'x': -0.397, 'y': -0.022, 'yaw': 6.283, 'bx': -0.035, 'by': 0.003, 'bytes': 4}
{'ID': '', 'x': -0.404, 'y': -0.0, 'yaw': 6.283, 'bx': -0.035, 'by': 0.003, 'bytes': 4}
{'ID': '', 'x': -0.389, 'y': 0.008, 'yaw': 6.254, 'bx': -0.033, 'by': -0.001, 'bytes': 4}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': -0.03, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.358, 'y': 0.016, 'yaw': 6.239, 'bx': -0.033, 'by': -0.001, 'bytes': 4}
{'ID': '', 'x': -0.311, 'y': 0.024, 'yaw': 6.282, 'bx': -0.033, 'by': -0.001, 'bytes': 4}
{'ID': '', 'x': -0.265, 'y': 0.032, 'yaw': 0.062, 'bx': -0.033, 'by': -0.001, 'bytes': 4}
{'ID': '#0', 'x': -1.657, 'y': 0.0, 'yaw': 6.244, 'bx': -0.03, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.218, 'y': 0.042, 'yaw': 0.051, 'bx': -0.033, 'by': -0.001, 'bytes': 4}
{'ID': '', 'x': -0.172, 'y': 0.051, 'yaw': 6.254, 'bx': -0.033, 'by': -0.001, 'bytes': 4}
{'ID': '#0', 'x': -1.622, 'y': -0.001, 'yaw': 6.202, 'bx': -0.03, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.551, 'y': -0.007, 'yaw': 6.216, 'bx': -0.03, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.126, 'y': 0.06, 'yaw': 6.239, 'bx': -0.033, 'by': -0.001, 'bytes': 4}
{'ID': '#0', 'x': -1.48, 'y': -0.012, 'yaw': 0.034, 'bx': -0.03, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.409, 'y': -0.009, 'yaw': 0.069, 'bx': -0.03, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.338, 'y': -0.005, 'yaw': 0.0, 'bx': -0.03, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.095, 'y': 0.058, 'yaw': 6.148, 'bx': -0.033, 'by': -0.001, 'bytes': 4}
{'ID': '#0', 'x': -1.291, 'y': -0.005, 'yaw': 0.027, 'bx': -0.03, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': -0.004, 'yaw': 0.124, 'bx': -0.03, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.092, 'y': 0.082, 'yaw': 6.214, 'bx': -0.033, 'by': -0.001, 'bytes': 4}
{'ID': '', 'x': -0.128, 'y': 0.05, 'yaw': 6.214, 'bx': -0.033, 'by': -0.001, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': -0.004, 'yaw': 0.188, 'bx': -0.03, 'by': 0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': -0.004, 'yaw': 0.033, 'bx': -0.03, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.128, 'y': 0.05, 'yaw': 6.246, 'bx': 0.959, 'by': -0.058, 'bytes': 4}
{'ID': '', 'x': -0.073, 'y': 0.048, 'yaw': 0.002, 'bx': 0.959, 'by': -0.058, 'bytes': 4}
{'ID': '', 'x': 0.011, 'y': 0.048, 'yaw': 6.278, 'bx': 0.959, 'by': -0.058, 'bytes': 4}
{'ID': '', 'x': 0.095, 'y': 0.048, 'yaw': 6.264, 'bx': 0.959, 'by': -0.058, 'bytes': 4}
{'ID': '', 'x': 0.179, 'y': 0.046, 'yaw': 6.231, 'bx': 0.959, 'by': -0.058, 'bytes': 4}
{'ID': '', 'x': 0.262, 'y': 0.042, 'yaw': 6.184, 'bx': 0.959, 'by': -0.058, 'bytes': 4}
{'ID': '', 'x': 0.318, 'y': 0.036, 'yaw': 6.168, 'bx': 0.959, 'by': -0.058, 'bytes': 4}
{'ID': '', 'x': 0.346, 'y': 0.033, 'yaw': 6.205, 'bx': 0.959, 'by': -0.058, 'bytes': 4}
{'ID': '', 'x': 0.286, 'y': 0.071, 'yaw': 6.192, 'bx': 0.959, 'by': -0.058, 'bytes': 4}
{'ID': '', 'x': 0.341, 'y': 0.085, 'yaw': 6.191, 'bx': 0.959, 'by': -0.058, 'bytes': 4}
{'ID': '', 'x': 0.341, 'y': 0.085, 'yaw': 6.252, 'bx': 1.307, 'by': -0.041, 'bytes': 4}
{'ID': '', 'x': 0.368, 'y': 0.084, 'yaw': 6.25, 'bx': 1.307, 'by': -0.041, 'bytes': 4}
{'ID': '', 'x': 0.421, 'y': 0.082, 'yaw': 6.193, 'bx': 1.307, 'by': -0.041, 'bytes': 4}
{'ID': '', 'x': 0.5, 'y': 0.075, 'yaw': 6.211, 'bx': 1.307, 'by': -0.041, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': -0.004, 'yaw': 0.149, 'bx': -0.03, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.58, 'y': 0.069, 'yaw': 6.249, 'bx': 1.307, 'by': -0.041, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': -0.004, 'yaw': 0.395, 'bx': -0.03, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.66, 'y': 0.067, 'yaw': 6.221, 'bx': 1.307, 'by': -0.041, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': -0.004, 'yaw': 0.674, 'bx': -0.03, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.739, 'y': 0.062, 'yaw': 6.188, 'bx': 1.307, 'by': -0.041, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': -0.004, 'yaw': 0.906, 'bx': -0.03, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': 0.819, 'y': 0.054, 'yaw': 6.151, 'bx': 1.307, 'by': -0.041, 'bytes': 4}
{'ID': '#0', 'x': -1.267, 'y': -0.004, 'yaw': 1.139, 'bx': -0.03, 'by': 0.0, 'bytes': 4}
