{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.385, 'y': -0.002, 'yaw': 6.283, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.404, 'y': -0.009, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.404, 'y': -0.009, 'yaw': 0.0, 'bx': -0.033, 'by': -0.009, 'bytes': 4}
{'ID': '', 'x': -0.381, 'y': -0.012, 'yaw': 0.0, 'bx': -0.033, 'by': -0.009, 'bytes': 4}
{'ID': '', 'x': -0.423, 'y': 0.01, 'yaw': 0.0, 'bx': -0.033, 'by': -0.009, 'bytes': 4}
{'ID': '', 'x': -0.408, 'y': 0.019, 'yaw': 0.003, 'bx': -0.053, 'by': 0.01, 'bytes': 4}
{'ID': '', 'x': -0.377, 'y': 0.027, 'yaw': 6.247, 'bx': -0.053, 'by': 0.01, 'bytes': 4}
{'ID': '', 'x': -0.331, 'y': 0.035, 'yaw': 6.21, 'bx': -0.053, 'by': 0.01, 'bytes': 4}
{'ID': '', 'x': -0.284, 'y': 0.042, 'yaw': 6.249, 'bx': -0.053, 'by': 0.01, 'bytes': 4}
{'ID': '', 'x': -0.238, 'y': 0.05, 'yaw': 0.023, 'bx': -0.053, 'by': 0.01, 'bytes': 4}
{'ID': '', 'x': -0.192, 'y': 0.059, 'yaw': 0.031, 'bx': -0.053, 'by': 0.01, 'bytes': 4}
{'ID': '', 'x': -0.145, 'y': 0.068, 'yaw': 6.234, 'bx': -0.053, 'by': 0.01, 'bytes': 4}
{'ID': '', 'x': -0.115, 'y': 0.066, 'yaw': 6.114, 'bx': -0.053, 'by': 0.01, 'bytes': 4}
{'ID': '', 'x': -0.143, 'y': 0.058, 'yaw': 6.189, 'bx': -0.053, 'by': 0.01, 'bytes': 4}
{'ID': '', 'x': -0.123, 'y': 0.054, 'yaw': 6.189, 'bx': -0.053, 'by': 0.01, 'bytes': 4}
{'ID': '', 'x': -0.123, 'y': 0.054, 'yaw': 6.182, 'bx': 0.568, 'by': -0.167, 'bytes': 4}
{'ID': '', 'x': -0.123, 'y': 0.054, 'yaw': 5.926, 'bx': 0.568, 'by': -0.167, 'bytes': 4}
{'ID': '', 'x': -0.123, 'y': 0.054, 'yaw': 5.63, 'bx': 0.568, 'by': -0.167, 'bytes': 4}
{'ID': '', 'x': -0.102, 'y': 0.038, 'yaw': 5.483, 'bx': 0.568, 'by': -0.167, 'bytes': 4}
{'ID': '', 'x': -0.063, 'y': -0.002, 'yaw': 5.623, 'bx': 0.568, 'by': -0.167, 'bytes': 4}
{'ID': '', 'x': 0.001, 'y': -0.052, 'yaw': 5.7, 'bx': 0.568, 'by': -0.167, 'bytes': 4}
{'ID': '', 'x': 0.07, 'y': -0.097, 'yaw': 5.719, 'bx': 0.568, 'by': -0.167, 'bytes': 4}
{'ID': '', 'x': 0.14, 'y': -0.141, 'yaw': 5.67, 'bx': 0.568, 'by': -0.167, 'bytes': 4}
{'ID': '', 'x': 0.179, 'y': -0.169, 'yaw': 5.525, 'bx': 0.568, 'by': -0.167, 'bytes': 4}
{'ID': '', 'x': 0.214, 'y': -0.202, 'yaw': 5.76, 'bx': 0.568, 'by': -0.167, 'bytes': 4}
{'ID': '', 'x': 0.256, 'y': -0.227, 'yaw': 6.139, 'bx': 0.568, 'by': -0.167, 'bytes': 4}
{'ID': '', 'x': 0.288, 'y': -0.231, 'yaw': 0.127, 'bx': 0.568, 'by': -0.167, 'bytes': 4}
{'ID': '', 'x': 0.304, 'y': -0.229, 'yaw': 0.27, 'bx': 0.568, 'by': -0.167, 'bytes': 4}
