{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.4, 'y': 0.0, 'yaw': 0.0, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.424, 'y': 0.003, 'yaw': 0.001, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.424, 'y': 0.008, 'yaw': 0.001, 'bx': 0.0, 'by': 0.0, 'bytes': 4}
{'ID': '', 'x': -0.424, 'y': 0.008, 'yaw': 6.283, 'bx': -0.052, 'by': 0.008, 'bytes': 4}
{'ID': '', 'x': -0.41, 'y': 0.023, 'yaw': 0.0, 'bx': -0.052, 'by': 0.008, 'bytes': 4}
{'ID': '', 'x': -0.42, 'y': 0.009, 'yaw': 6.283, 'bx': -0.052, 'by': 0.008, 'bytes': 4}
{'ID': '#0', 'x': -1.675, 'y': 0.0, 'yaw': 0.0, 'bx': -0.017, 'by': -0.0, 'bytes': 4}
{'ID': '', 'x': -0.405, 'y': 0.017, 'yaw': 6.254, 'bx': -0.051, 'by': 0.009, 'bytes': 4}
{'ID': '', 'x': -0.374, 'y': 0.025, 'yaw': 6.277, 'bx': -0.051, 'by': 0.009, 'bytes': 4}
{'ID': '', 'x': -0.328, 'y': 0.034, 'yaw': 0.029, 'bx': -0.051, 'by': 0.009, 'bytes': 4}
{'ID': '#0', 'x': -1.657, 'y': -0.0, 'yaw': 0.066, 'bx': -0.017, 'by': -0.0, 'bytes': 4}
{'ID': '', 'x': -0.282, 'y': 0.042, 'yaw': 0.041, 'bx': -0.051, 'by': 0.009, 'bytes': 4}
{'ID': '#0', 'x': -1.622, 'y': 0.002, 'yaw': 0.084, 'bx': -0.017, 'by': -0.0, 'bytes': 4}
{'ID': '', 'x': -0.235, 'y': 0.051, 'yaw': 6.25, 'bx': -0.051, 'by': 0.009, 'bytes': 4}
{'ID': '#0', 'x': -1.551, 'y': 0.008, 'yaw': 0.014, 'bx': -0.017, 'by': -0.0, 'bytes': 4}
{'ID': '', 'x': -0.189, 'y': 0.06, 'yaw': 6.267, 'bx': -0.051, 'by': 0.009, 'bytes': 4}
{'ID': '#0', 'x': -1.48, 'y': 0.009, 'yaw': 0.013, 'bx': -0.017, 'by': -0.0, 'bytes': 4}
{'ID': '', 'x': -0.143, 'y': 0.068, 'yaw': 6.25, 'bx': -0.051, 'by': 0.009, 'bytes': 4}
{'ID': '#0', 'x': -1.409, 'y': 0.01, 'yaw': 6.27, 'bx': -0.017, 'by': -0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.338, 'y': 0.009, 'yaw': 6.252, 'bx': -0.017, 'by': -0.0, 'bytes': 4}
{'ID': '#0', 'x': -1.291, 'y': 0.008, 'yaw': 6.237, 'bx': -0.017, 'by': -0.0, 'bytes': 4}
